repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
cmangos/mangos-classic,800,339,9,19,0,7,0,0
cmangos/mangos-wotlk,813,339,9,19,0,7,0,0
colobot/colobot,524,241,0,0,0,0,0,0
commontk/CTK,13,1,0,2,0,0,0,0
commontk/DCMTK,1162,318,1,18,0,4,0,0
cppformat/cppformat,1,0,0,0,0,0,0,0
ddemidov/vexcl,0,0,2,0,0,0,0,0
deskvox/deskvox,382,229,15,12,0,0,0,0
dorkster/flare-engine-next,11,0,1,1,0,0,0,0
edubart/otclient,40,0,0,6,0,0,0,0
elemental/Elemental,2,0,0,0,0,0,0,0
esa/pagmo,7,7,4,0,0,0,0,0
facebook/mysql-5.6,3292,752,32,114,0,21,0,0
freundlich/fcppt,5,1,0,3,0,0,0,0
freundlich/mizuiro,0,0,0,0,0,0,0,0
gnuradio/gnuradio,210,36,54,6,0,3,0,0
hluk/CopyQ,2,0,0,0,0,0,0,0
hpcc-systems/HPCC-Platform,2885,483,34,392,0,6,0,0
imageworks/OpenColorIO,50,8,0,0,0,0,0,0
jbeder/yaml-cpp,3,0,1,0,0,0,0,0
juj/MathGeoLib,27,1,0,0,0,0,0,0
koreader/crengine,983,422,11,11,0,4,0,0
lalinsky/chromaprint,0,0,1,0,0,0,0,0
ledger/ledger,78,8,0,9,0,0,0,0
libpinyin/libpinyin,15,8,0,0,0,0,0,0
libspatialindex/libspatialindex,23,0,15,1,0,0,0,0
lightspark/lightspark,87,4,1,39,0,0,0,0
lotem/librime,4,0,0,0,0,0,0,0
lxde/pcmanfm-qt,0,0,0,0,0,0,0,0
mangosthree/server,1575,930,13,44,0,12,0,0
mavam/libbf,0,0,0,0,0,0,0,0
mempko/firestr,45,20,1,1,0,0,0,0
mickem/nscp,449,160,17,13,0,3,0,0
mlpack/mlpack,5,4,1,0,0,0,0,0
mosra/corrade,4,0,0,0,0,0,0,0
msoos/cryptominisat,10,6,5,1,0,0,0,0
musescore/MuseScore,643,40,0,1,0,3,0,0
nickbruun/hayai,0,0,1,0,0,0,0,0
openclonk/openclonk,458,103,1,10,0,3,0,0
opengm/opengm,0,0,3,0,0,0,0,0
openscenegraph/osg,2356,215,26,17,0,0,0,0
orocos-toolchain/typelib,10,0,0,1,0,0,0,0
percona/percona-server,2510,631,22,79,0,13,0,0
quassel/quassel,6,5,3,5,0,0,0,0
rime/librime,25,9,0,0,0,0,0,0
root-mirror/root,4683,1104,85,174,0,14,0,0
sakra/cotire,0,0,0,0,0,0,0,0
samstyle/Xpeccy,104,47,0,0,0,0,0,0
saschazelzer/CppMicroServices,1,4,0,0,0,0,0,0
scross99/locic,0,0,0,0,0,0,0,0
simongog/sdsl-lite,34,18,0,1,0,0,0,0
spring/pr-downloader,199,116,0,1,0,3,0,0
stevenlovegrove/Pangolin,6,0,0,1,0,0,0,0
strasdat/Sophus,0,0,0,0,0,0,0,0
stuntrally/stuntrally,100,22,20,0,0,0,0,0
supercollider/sc3-plugins,193,33,4,15,0,0,0,0
supercollider/supercollider,583,197,3,15,0,3,0,0
supertuxkart/stk-code,98,19,19,2,0,0,0,0
symengine/symengine,0,0,0,3,0,0,0,0
syndicodefront/infekt,61,16,0,1,0,3,0,0
taglib/taglib,106,1,0,0,0,0,0,0
texus/TGUI,0,0,0,0,0,0,0,0
thesamet/rpcz,18,0,0,5,0,0,0,0
thewtex/tmux-mem-cpu-load,0,0,0,0,0,0,0,0
tpaviot/oce,1475,623,3,23,0,0,0,0
tumi8/vermont,132,48,2,6,0,2,0,0
ukoethe/vigra,49,9,0,0,0,0,0,0
user-none/Sigil,396,134,0,3,0,0,0,0
vcmi/vcmi,84,28,8,0,0,0,0,0
vinipsmaker/tufao,6,0,0,0,0,0,0,0
wesnoth/wesnoth,225,29,14,12,0,0,0,0
xrootd/xrootd,1864,670,9,54,0,33,0,0
total,40739,12138,643,1341,0,186,0,0
