repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,355,169,1,21,0,9,0,0
Bertram25/ValyriaTear,32,5,1,1,0,0,0,0
ChaiScript/ChaiScript,3,1,0,0,0,0,0,0
DGtal-team/DGtal,11,0,0,0,0,0,0,0
FreeCAD/FreeCAD_sf_master,459,197,2,6,0,0,0,0
GollyGang/ready,60,6,31,0,0,0,0,0
H-uru/Plasma,1545,635,5,1,0,0,0,0
InsightSoftwareConsortium/ITK,1605,690,6,19,0,2,0,0
Itseez/opencv,631,198,6,6,0,0,0,0
KDAB/GammaRay,25,1,0,2,0,0,0,0
Kazade/kazmath,0,0,0,0,0,0,0,0
KhronosGroup/OpenCOLLADA,316,110,0,15,0,0,0,0
KiCAD/kicad-source-mirror,249,111,0,0,0,0,0,0
Kitware/CMake,948,262,17,39,0,10,0,0
KitwareMedical/TubeTK,31,10,1,0,0,0,0,0
LaurentGomila/SFML,21,1,1,1,0,0,0,0
LiberatorUSA/GUCEF,1086,448,36,16,0,2,0,0
ManaPlus/ManaPlus,106,19,4,7,0,1,0,0
MyGUI/mygui,39,9,19,0,0,0,0,0
RainerKuemmerle/g2o,85,5,1,2,0,0,0,0
SINTEF-Geometry/GoTools,447,21,2,0,0,0,0,0
SimTk/openmm,121,25,9,0,0,0,0,0
Slicer/SlicerExecutionModel,18,2,0,0,0,0,0,0
SupSuper/OpenXcom,52,2,3,1,0,0,0,0
SuperTux/supertux,235,55,18,9,0,0,0,0
TUM-I5/ASAGI,0,0,1,0,0,0,0,0
TigerVNC/tigervnc,601,311,3,15,0,0,0,0
Vatsinator/Vatsinator,14,0,0,0,0,0,0,0
VcDevel/Vc,2,0,0,0,0,0,0,0
Zeex/samp-plugin-jit,18,3,0,0,0,0,0,0
Zeex/samp-plugin-profiler,4,0,0,0,0,0,0,0
alecthomas/entityx,0,0,0,0,0,0,0,0
alembic/alembic,27,8,4,0,0,0,0,0
arx/ArxLibertatis,347,127,0,15,0,0,0,0
biometrics/openbr,37,0,4,0,0,0,0,0
brezerk/q4wine,20,2,0,0,0,0,0,0
brndnmtthws/conky,397,155,3,3,0,2,0,0
bro/bro,523,68,11,18,0,13,0,0
bro/pysubnettree,11,1,0,0,0,0,0,0
casadi/casadi,86,27,2,1,0,0,0,0
chenshuo/muduo,46,0,0,1,0,1,0,0
christopho/solarus,155,0,1,0,0,0,0,0
cinemast/libjson-rpc-cpp,27,15,0,1,0,2,0,0
clintbellanger/flare-engine,12,1,1,1,0,0,0,0
