repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,0,0,0,0,0,14,0,0
Bertram25/ValyriaTear,0,0,0,0,0,0,0,0
ChaiScript/ChaiScript,0,0,0,0,0,0,0,0
DGtal-team/DGtal,0,0,0,0,0,4,0,0
FreeCAD/FreeCAD_sf_master,6,1,0,0,0,135,0,0
GollyGang/ready,0,0,0,0,0,0,0,0
H-uru/Plasma,4,1,0,0,0,24,0,0
InsightSoftwareConsortium/ITK,6,17,0,0,0,94,0,0
Itseez/opencv,8,0,0,0,0,40,0,0
KDAB/GammaRay,0,0,0,0,0,1,0,0
Kazade/kazmath,0,0,0,0,0,0,0,0
KhronosGroup/OpenCOLLADA,0,1,0,0,0,7,0,0
KiCAD/kicad-source-mirror,1,0,0,0,0,17,0,0
Kitware/CMake,1,0,0,0,0,28,0,0
KitwareMedical/TubeTK,0,0,0,0,0,0,0,0
LaurentGomila/SFML,0,0,0,0,0,0,0,0
LiberatorUSA/GUCEF,59,13,0,0,0,206,0,0
ManaPlus/ManaPlus,0,0,0,0,0,0,0,0
MyGUI/mygui,22,0,0,0,0,0,0,0
RainerKuemmerle/g2o,0,0,0,0,0,8,0,0
SINTEF-Geometry/GoTools,6,9,0,0,0,52,0,0
SimTk/openmm,0,0,0,0,0,2,0,0
Slicer/SlicerExecutionModel,0,0,0,0,0,0,0,0
SupSuper/OpenXcom,2,2,0,0,0,2,0,0
SuperTux/supertux,0,0,0,0,0,12,0,0
TUM-I5/ASAGI,0,0,0,0,0,0,0,0
TigerVNC/tigervnc,0,0,0,0,0,7,0,0
Vatsinator/Vatsinator,0,0,0,0,0,1,0,0
VcDevel/Vc,0,0,0,0,0,0,0,0
Zeex/samp-plugin-jit,0,0,0,0,0,0,0,0
Zeex/samp-plugin-profiler,0,0,0,0,0,0,0,0
alecthomas/entityx,0,0,0,0,0,0,0,0
alembic/alembic,0,0,0,0,0,1,0,0
arx/ArxLibertatis,0,3,0,0,0,2,0,0
biometrics/openbr,0,3,0,0,0,8,0,0
brezerk/q4wine,0,0,0,0,0,5,0,0
brndnmtthws/conky,1,8,0,0,0,2,0,0
bro/bro,0,0,0,0,0,4,0,0
bro/pysubnettree,0,0,0,0,0,1,0,0
casadi/casadi,0,0,0,0,0,46,0,0
chenshuo/muduo,1,0,0,0,0,2,0,0
christopho/solarus,0,0,0,0,0,0,0,0
cinemast/libjson-rpc-cpp,0,0,0,0,0,0,0,0
clintbellanger/flare-engine,0,0,0,0,0,0,0,0
cmangos/mangos-classic,2,2,0,0,0,14,0,0
cmangos/mangos-wotlk,1,2,0,0,0,13,0,0
colobot/colobot,0,0,0,0,0,0,0,0
commontk/CTK,0,0,0,0,0,6,0,0
commontk/DCMTK,0,0,0,0,0,12,0,0
cppformat/cppformat,0,0,0,0,0,0,0,0
ddemidov/vexcl,0,0,0,0,0,6,0,0
deskvox/deskvox,0,0,0,0,0,2,0,0
dorkster/flare-engine-next,0,0,0,0,0,1,0,0
edubart/otclient,0,0,0,0,0,8,0,0
elemental/Elemental,0,0,0,0,0,29,0,0
esa/pagmo,0,0,0,0,0,0,0,0
facebook/mysql-5.6,11,6,0,0,0,48,0,0
freundlich/fcppt,0,0,0,0,0,0,0,0
freundlich/mizuiro,0,0,0,0,0,0,0,0
gnuradio/gnuradio,1,0,0,0,0,14,0,0
hluk/CopyQ,0,0,0,0,0,0,0,0
hpcc-systems/HPCC-Platform,1,20,0,0,0,165,0,0
imageworks/OpenColorIO,1,0,0,0,0,4,0,0
jbeder/yaml-cpp,0,0,0,0,0,0,0,0
juj/MathGeoLib,0,0,0,0,0,1,0,0
koreader/crengine,0,14,0,0,0,108,0,0
lalinsky/chromaprint,0,2,0,0,0,0,0,0
ledger/ledger,0,12,0,0,0,0,0,0
libpinyin/libpinyin,19,19,0,0,0,0,0,0
libspatialindex/libspatialindex,0,0,0,0,0,5,0,0
lightspark/lightspark,3,0,0,0,0,6,0,0
lotem/librime,0,0,0,0,0,7,0,0
lxde/pcmanfm-qt,0,0,0,0,0,1,0,0
mangosthree/server,21,0,0,0,0,14,0,0
mavam/libbf,0,0,0,0,0,0,0,0
mempko/firestr,0,0,0,0,0,0,0,0
mickem/nscp,2,0,0,0,0,21,0,0
mlpack/mlpack,0,0,0,0,0,0,0,0
mosra/corrade,0,0,0,0,0,3,0,0
msoos/cryptominisat,0,3,0,0,0,2,0,0
