repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,308,82,0,9,0,28,0,0
Bertram25/ValyriaTear,140,31,1,26,0,0,0,0
ChaiScript/ChaiScript,24,4,0,7,0,0,0,0
DGtal-team/DGtal,88,3,2,20,0,0,0,0
FreeCAD/FreeCAD_sf_master,1762,540,19,60,0,21,0,0
GollyGang/ready,60,9,1,0,0,0,0,0
H-uru/Plasma,1937,902,12,127,0,34,0,0
InsightSoftwareConsortium/ITK,5254,2376,21,45,0,66,0,0
Itseez/opencv,2440,637,25,17,0,22,0,0
KDAB/GammaRay,113,9,0,5,0,0,0,0
Kazade/kazmath,10,0,0,0,0,0,0,0
KhronosGroup/OpenCOLLADA,1992,1117,0,5,0,167,0,0
KiCAD/kicad-source-mirror,513,182,0,5,0,16,0,0
Kitware/CMake,3092,1399,21,62,0,131,0,0
KitwareMedical/TubeTK,203,71,0,0,0,0,0,0
LaurentGomila/SFML,215,15,1,0,0,0,0,0
LiberatorUSA/GUCEF,12078,3595,86,418,0,354,0,0
ManaPlus/ManaPlus,443,67,7,1,0,6,0,0
MyGUI/mygui,285,50,19,26,0,0,0,0
RainerKuemmerle/g2o,253,10,4,0,0,1,0,0
SINTEF-Geometry/GoTools,896,148,13,0,0,6,0,0
SimTk/openmm,1470,56,53,0,0,3,0,0
Slicer/SlicerExecutionModel,17,7,0,0,0,0,0,0
SupSuper/OpenXcom,131,24,3,0,0,11,0,0
SuperTux/supertux,469,192,25,6,0,9,0,0
TUM-I5/ASAGI,36,0,0,3,0,1,0,0
TigerVNC/tigervnc,596,363,2,10,0,38,0,0
Vatsinator/Vatsinator,34,0,0,1,0,0,0,0
VcDevel/Vc,13,0,3,5,0,0,0,0
Zeex/samp-plugin-jit,67,20,1,0,0,0,0,0
Zeex/samp-plugin-profiler,21,3,0,0,0,0,0,0
alecthomas/entityx,10,0,3,0,0,0,0,0
alembic/alembic,109,5,2,0,0,0,0,0
