repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
arx/ArxLibertatis,597,89,5,4,0,0,0,0
biometrics/openbr,564,88,78,0,0,36,0,0
brezerk/q4wine,49,4,0,0,0,0,0,0
brndnmtthws/conky,1113,707,8,7,0,355,0,0
bro/bro,1832,410,15,35,0,104,0,0
bro/pysubnettree,50,21,0,0,0,4,0,0
casadi/casadi,485,295,2,2,0,161,0,0
chenshuo/muduo,244,20,0,3,0,57,0,0
christopho/solarus,78,0,0,2,0,0,0,0
cinemast/libjson-rpc-cpp,25,9,0,1,0,7,0,0
clintbellanger/flare-engine,148,1,1,0,0,0,0,0
cmangos/mangos-classic,2021,806,40,2,0,89,0,0
cmangos/mangos-wotlk,2025,816,37,2,0,92,0,0
colobot/colobot,224,98,3,0,0,6,0,0
commontk/CTK,129,3,0,0,0,0,0,0
commontk/DCMTK,4053,935,1,19,0,2,0,0
cppformat/cppformat,41,29,0,0,0,0,0,0
ddemidov/vexcl,229,1,6,0,0,0,0,0
deskvox/deskvox,695,310,24,0,0,1,0,0
dorkster/flare-engine-next,148,1,1,30,0,0,0,0
edubart/otclient,164,37,1,0,0,2,0,0
elemental/Elemental,162,6,17,0,0,0,0,0
esa/pagmo,41,13,37,197,0,0,0,0
facebook/mysql-5.6,9778,3258,68,139,0,649,0,0
freundlich/fcppt,41,0,180,0,0,0,0,0
freundlich/mizuiro,8,0,0,375,0,0,0,0
gnuradio/gnuradio,976,76,65,0,0,15,0,0
hluk/CopyQ,66,7,0,24,0,3,0,0
hpcc-systems/HPCC-Platform,7220,2313,68,153,0,109,0,0
imageworks/OpenColorIO,220,63,0,2,0,0,0,0
jbeder/yaml-cpp,4,0,1,0,0,0,0,0
juj/MathGeoLib,105,51,0,0,0,0,0,0
koreader/crengine,2628,920,13,22,0,15,0,0
lalinsky/chromaprint,32,4,0,0,0,3,0,0
ledger/ledger,111,42,0,0,0,0,0,0
libpinyin/libpinyin,174,44,0,0,0,0,0,0
libspatialindex/libspatialindex,417,2,22,3,0,0,0,0
lightspark/lightspark,323,59,5,13,0,29,0,0
lotem/librime,552,143,2,5,0,85,0,0
lxde/pcmanfm-qt,17,2,0,0,0,0,0,0
mangosthree/server,862,347,3,0,0,27,0,0
mavam/libbf,0,0,0,0,0,0,0,0
mempko/firestr,147,41,3,3,0,0,0,0
mickem/nscp,1089,311,33,19,0,50,0,0
mlpack/mlpack,30,0,1,35,0,0,0,0
mosra/corrade,46,6,0,13,0,1,0,0
msoos/cryptominisat,59,11,6,0,0,0,0,0
musescore/MuseScore,2209,221,15,3,0,19,0,0
nickbruun/hayai,4,4,1,0,0,1,0,0
openclonk/openclonk,833,260,8,3,0,8,0,0
opengm/opengm,11,0,2,0,0,0,0,0
openscenegraph/osg,3482,564,76,20,0,16,0,0
orocos-toolchain/typelib,20,2,0,1,0,0,0,0
percona/percona-server,11229,3678,78,152,0,774,0,0
quassel/quassel,116,10,3,0,0,0,0,0
rime/librime,552,143,2,5,0,85,0,0
root-mirror/root,12009,4846,149,183,0,903,0,0
sakra/cotire,0,0,0,0,0,0,0,0
samstyle/Xpeccy,490,110,0,1,0,0,0,0
saschazelzer/CppMicroServices,420,143,1,6,0,35,0,0
scross99/locic,28,5,0,1,0,0,0,0
simongog/sdsl-lite,163,13,12,10,0,0,0,0
spring/pr-downloader,637,217,12,4,0,11,0,0
stevenlovegrove/Pangolin,207,56,1,0,0,2,0,0
strasdat/Sophus,0,0,0,0,0,0,0,0
stuntrally/stuntrally,303,70,4,1,0,0,0,0
supercollider/sc3-plugins,496,119,6,0,0,15,0,0
supercollider/supercollider,3935,622,88,33,0,56,0,0
supertuxkart/stk-code,1130,375,44,78,0,22,0,0
symengine/symengine,40,6,3,0,0,0,0,0
syndicodefront/infekt,110,23,0,0,0,5,0,0
taglib/taglib,170,13,0,21,0,0,0,0
texus/TGUI,39,1,0,0,0,0,0,0
thesamet/rpcz,25,16,0,0,0,0,0,0
thewtex/tmux-mem-cpu-load,15,6,0,0,0,6,0,0
tpaviot/oce,1743,759,12,74,0,3,0,0
tumi8/vermont,373,99,3,0,0,74,0,0
ukoethe/vigra,63,11,3,2,0,0,0,0
user-none/Sigil,1455,777,8,20,0,5,0,0
vcmi/vcmi,232,33,7,0,0,0,0,0
vinipsmaker/tufao,12,0,0,4,0,0,0,0
wesnoth/wesnoth,408,69,20,8,0,0,0,0
xrootd/xrootd,4210,2076,11,63,0,313,0,0
,122270,39663,1639,2661,0,5169,0,0
