repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
Andersbakken/rtags,0,0,0,0,0,0,0,0
Bertram25/ValyriaTear,0,0,0,0,0,0,0,0
ChaiScript/ChaiScript,0,0,0,0,0,1,0,0
DGtal-team/DGtal,22,0,0,0,0,99,0,0
FreeCAD/FreeCAD_sf_master,0,0,0,0,0,0,0,0
GollyGang/ready,0,0,0,0,0,25,0,0
H-uru/Plasma,0,0,0,0,0,0,0,0
InsightSoftwareConsortium/ITK,0,0,0,0,0,0,0,0
Itseez/opencv,99,5,0,0,0,128,0,0
KDAB/GammaRay,7,0,0,0,0,58,0,0
Kazade/kazmath,11,3,0,0,0,4,0,0
KhronosGroup/OpenCOLLADA,52,7,0,0,0,134,0,0
KiCAD/kicad-source-mirror,390,31,0,0,5,465,0,0
Kitware/CMake,55,21,0,0,0,293,0,0
KitwareMedical/TubeTK,0,0,0,0,0,0,0,0
LaurentGomila/SFML,24,1,0,0,0,22,0,0
LiberatorUSA/GUCEF,645,112,0,0,21,1952,0,0
ManaPlus/ManaPlus,83,3,0,0,0,83,0,0
MyGUI/mygui,34,2,0,0,2,58,0,0
RainerKuemmerle/g2o,18,9,0,0,0,49,0,0
SINTEF-Geometry/GoTools,1284,209,0,0,17,901,0,0
SimTk/openmm,300,16,0,0,6,562,0,1
Slicer/SlicerExecutionModel,0,0,0,0,0,0,0,0
SupSuper/OpenXcom,0,0,0,0,0,0,0,0
SuperTux/supertux,0,0,0,0,0,0,0,0
TUM-I5/ASAGI,1,0,0,0,0,11,0,0
TigerVNC/tigervnc,17,9,0,0,4,121,0,0
Vatsinator/Vatsinator,5,0,0,0,0,74,0,0
VcDevel/Vc,11,66,0,0,0,189,0,0
Zeex/samp-plugin-jit,0,0,0,0,0,0,0,0
Zeex/samp-plugin-profiler,0,0,0,0,0,0,0,0
alecthomas/entityx,0,2,0,0,1,27,0,0
alembic/alembic,55,2,0,0,0,67,0,0
arx/ArxLibertatis,0,0,0,0,0,0,0,0
biometrics/openbr,59,3,0,0,0,131,0,0
brezerk/q4wine,0,2,0,0,0,0,0,0
brndnmtthws/conky,48,88,0,0,3,73,0,0
bro/bro,34,8,0,0,3,189,0,0
bro/pysubnettree,10,5,0,0,0,8,0,0
casadi/casadi,206,12,0,0,0,141,0,0
chenshuo/muduo,12,74,0,0,0,6,0,0
christopho/solarus,8,0,0,0,3,745,0,0
cinemast/libjson-rpc-cpp,0,0,0,0,0,0,0,0
clintbellanger/flare-engine,48,0,0,0,0,50,0,0
cmangos/mangos-classic,0,0,0,0,0,0,0,0
cmangos/mangos-wotlk,0,0,0,0,0,0,0,0
colobot/colobot,402,2,0,0,0,147,0,1
commontk/CTK,0,0,0,0,0,0,0,0
