repository,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment
commontk/DCMTK,175,55,0,0,4,2187,0,0
cppformat/cppformat,0,0,0,0,1,13,0,0
ddemidov/vexcl,6,0,0,0,2,132,0,0
deskvox/deskvox,72,3,0,0,0,183,0,0
dorkster/flare-engine-next,50,0,0,0,0,51,0,0
edubart/otclient,49,2,0,0,0,102,0,0
elemental/Elemental,62,12,0,0,1,1011,0,0
esa/pagmo,76,0,0,0,2,161,0,0
facebook/mysql-5.6,0,0,0,0,0,0,0,0
freundlich/fcppt,0,71,0,0,0,13,0,0
freundlich/mizuiro,0,13,0,0,0,17,0,0
gnuradio/gnuradio,77,50,0,0,2,150,0,1
hluk/CopyQ,0,3,0,0,0,11,0,0
hpcc-systems/HPCC-Platform,206,256,0,0,32,1788,0,10
imageworks/OpenColorIO,3,0,0,0,0,13,0,0
jbeder/yaml-cpp,0,0,0,0,0,16,0,0
juj/MathGeoLib,20,0,0,0,0,68,0,0
koreader/crengine,5,17,0,0,2,311,0,0
lalinsky/chromaprint,3,0,0,0,0,4,0,0
ledger/ledger,2,3,0,0,0,82,0,0
libpinyin/libpinyin,0,0,0,0,0,0,0,0
libspatialindex/libspatialindex,49,0,0,0,0,37,0,0
lightspark/lightspark,99,4,0,0,0,233,0,0
lotem/librime,2,0,0,0,4,21,0,0
lxde/pcmanfm-qt,0,0,0,0,0,1,0,0
mangosthree/server,0,0,0,0,0,0,0,0
mavam/libbf,0,0,0,0,0,4,0,0
mempko/firestr,15,9,0,0,2,59,0,0
mickem/nscp,12,5,0,0,6,119,0,1
mlpack/mlpack,0,0,0,0,0,0,0,0
mosra/corrade,1,0,0,0,0,6,0,0
msoos/cryptominisat,13,7,0,0,0,142,0,0
musescore/MuseScore,286,3,0,0,0,321,0,0
nickbruun/hayai,0,0,0,0,0,0,0,0
openclonk/openclonk,127,7,0,0,2,612,0,0
opengm/opengm,0,27,0,0,0,48,0,0
openscenegraph/osg,652,34,0,0,3,474,0,5
orocos-toolchain/typelib,0,8,0,0,6,19,0,0
percona/percona-server,0,0,0,0,0,0,0,0
quassel/quassel,18,1,0,0,0,62,0,0
rime/librime,2,0,0,0,4,22,0,0
root-mirror/root,3210,365,0,0,2,3477,0,3
sakra/cotire,0,0,0,0,0,0,0,0
samstyle/Xpeccy,42,62,0,0,0,78,0,0
saschazelzer/CppMicroServices,24,2,0,0,4,76,0,0
scross99/locic,1,2,0,0,1,32,0,0
simongog/sdsl-lite,17,13,0,0,0,129,0,0
spring/pr-downloader,10,5,0,0,0,29,0,0
stevenlovegrove/Pangolin,44,11,0,0,10,132,0,0
strasdat/Sophus,0,0,0,0,0,2,0,0
stuntrally/stuntrally,240,2,0,0,11,236,0,0
supercollider/sc3-plugins,690,9,0,0,0,348,0,0
supercollider/supercollider,0,0,0,0,0,0,0,0
supertuxkart/stk-code,0,0,0,0,0,0,0,0
symengine/symengine,2,2,0,0,1,45,0,0
syndicodefront/infekt,2,4,0,0,0,17,0,0
taglib/taglib,0,0,0,0,0,39,0,0
texus/TGUI,31,0,0,0,0,17,0,0
thesamet/rpcz,0,0,0,0,0,2,0,0
thewtex/tmux-mem-cpu-load,0,0,0,0,0,0,0,0
tpaviot/oce,0,0,0,0,0,0,0,0
tumi8/vermont,36,38,0,0,8,139,0,3
ukoethe/vigra,116,5,0,0,0,354,0,0
user-none/Sigil,43,14,0,0,5,190,0,0
vcmi/vcmi,14,7,0,0,2,512,0,0
vinipsmaker/tufao,3,0,0,0,0,8,0,0
wesnoth/wesnoth,71,6,0,0,39,164,0,0
xrootd/xrootd,77,62,0,0,0,906,0,0
Total,10695,1891,0,0,221,22238,0,25
