Project,tool,file_old,line_old,file_new,line_new,threshhold,version_altered,date_altered,day,type,subtype,type,subtype
Bertram25/ValyriaTear, PVS-Studio, src/engine/engine_bindings.cpp,200, src/engine/engine_bindings.cpp,275   -   ,0.277777778, b65a3a3320fc578c111316edf99ebfdb2c9872e2,1342128055,12,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/texture.cpp,69, src/engine/video/texture.cpp,70   -   ,0.058252427, 0781eec2b3f038ae67db9edd32abd49c601364ca,1346851666,66,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,224, src/engine/video/image.cpp,233   -   ,0.793650794, 37709fd65a1e5d2aa76627c7c9a1fdb58a0e22d3,1376351835,408,  API Abuse, Often Misused: Exception Handling,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,271, src/engine/video/image.cpp,279   -   ,0.793650794, 37709fd65a1e5d2aa76627c7c9a1fdb58a0e22d3,1376351835,408,  API Abuse, Often Misused: Exception Handling,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,407, src/engine/video/image.cpp,409   -   ,0.740740741, 87efe07391b4e33f159772baf211997e3a0abdcc,1489833933,1721,  Code Quality, Memory Leak,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image.cpp,435, src/engine/video/image.cpp,431   -   ,0.377358491, 279543929f9b075cb3d9775a58d5e9a27e121835,1379549059,445,  Code Quality, General,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/image_base.cpp,102, src/engine/video/image_base.cpp,96   -   ,0.553846154, 671454164e6c5d5b74dd7794a6ee3b387a038f7f,1446767824,1223,  Input Validation and Representation, Buffer Overflow,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/particle_effect.cpp,23, src/engine/video/particle_effect.cpp,375   -   ,0.78313253, 782a17bd20045943fe775c4d3046da596506e48b,1346269707,60,  Code Quality, Uninitialized Variable,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/video/particle_system.cpp,573, src/engine/video/particle_system.cpp,464   -   ,0.06, 5b19e880fe1c62c8f666435b1198bc246325a966,1461540477,1394,  Code Quality, General ,,
Bertram25/ValyriaTear, PVS-Studio, src/engine/script/script.cpp,71, src/engine/script/script.cpp,68   -   ,0.068965517, b52373339695fcbf2636920555c704b509c13a3a,1348349450,84,  Code Quality, General,,
ChaiScript/ChaiScript, RATS, src/main.cpp,22, src/main.cpp,36   -   ,0.155555556, 28a016b51d9cf246dc0776e623b53bda4c4fd658,1399771203,526,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
ChaiScript/ChaiScript, Flawfinder, include/chaiscript/language/chaiscript_eval.hpp,106, include/chaiscript/language/chaiscript_eval.hpp,157   -   ,0.758064516, b091439567f912d9bb497a027bac312b229aa4b3,1475853199,1406,  Input Validation and Representation, Integer Overflow,,
ChaiScript/ChaiScript, Flawfinder, include/chaiscript/language/chaiscript_parser.hpp,1105, include/chaiscript/language/chaiscript_parser.hpp,1351   -   ,0.704545455, 0dea62dd54b4e0f25a981a7d7443d077551b6d94,1480744917,1463,  Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings
ChaiScript/ChaiScript, Flawfinder, src/main.cpp,22, src/main.cpp,36   -   ,0.155555556, 28a016b51d9cf246dc0776e623b53bda4c4fd658,1399771203,526,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
ChaiScript/ChaiScript, Flawfinder, src/main.cpp,20, src/main.cpp,31   -   ,0.448275862, a71903f1856ac0aac9cc1c88d26a58ebed127430,1409427396,638,  Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings
ChaiScript/ChaiScript, PVS-Studio, include/chaiscript/language/chaiscript_parser.hpp,1572, include/chaiscript/language/chaiscript_parser.hpp,1846   -   ,0.5625, 48f538438d7f45f106cf819b1bcc3cf85e241ae3,1361679277,85,  Code Quality, General ,,
DGtal-team/DGtal, Flawfinder, src/DGtal/base/IteratorTraits.h,109, src/DGtal/base/IteratorCirculatorTraits.h,136   -   ,0.763157895, ebae4355ce809b2264477e3247d736122f1b1be2,1382952806,456,  Input Validation and Representation, Buffer Overflow,,
DGtal-team/DGtal, Flawfinder, src/DGtal/io/readers/LongvolReader.h,123, src/DGtal/io/readers/LongvolReader.h,139   -   ,0.263157895, c9a3dc6bdae351c0d4041981f9b075988868a530,1483200152,1616,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
