repository,v1,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment,Tool_error,v2,Input_Validation_Representation,API_Abuse,Security_Features,Time_State,Errors,Code_Quality,Encapsulation,Environment,Tool_error
Andersbakken/rtags,005e5569366b519850f0ae5b78f618f4d67d8785,390,89,0,19,0,44,0,0,1,b5bb19291a8e3331d2f5ee0c1a77fc5922e21607,1291,659,2,41,0,62,0,0,1
Bertram25/ValyriaTear,97fceb85691e90dd8788221bdb8b9132c24c6148,176,31,2,26,0,0,0,0,0,99cc26a8c76d05d9bdc82fe9213e5fd39050d218,168,42,2,1,1,67,0,0,0
ChaiScript/ChaiScript,064a385a645c89c8b958b754f0d5e8399b9b6df9,28,4,0,7,0,1,0,0,3,e4f4b64cc8a8c0f8a78365b92bce2f3fea9a918a,18,5,0,1,0,3,0,0,0
DGtal-team/DGtal,06bf04a64ace2cf4fceb8aae2a66ca27897848a2,122,3,3,20,0,103,0,0,1,1f1b116dc03f2fd68a7cc665d7c0b6fdb1ad37ef,55,5,2,20,0,98,0,0,0
FreeCAD/FreeCAD_sf_master,e3d55841065cc22b32eda7ff53a648698c748562,2356,782,21,68,0,156,0,0,9,0ec1c40d255bee91c0a745457a4528b612f1fe10,1916,669,21,18,0,132,0,0,8
GollyGang/ready,f8bb1b0bc6a0b892e6909412de126a2f1d8f5e3a,68,10,2,0,0,25,0,0,1,6800b29d331505a8c94897a1565760dcc50c62ca,303,63,62,0,0,3,0,0,3
H-uru/Plasma,76f136261c9bc88b3cb6e9e70e63f54e64bcd416,2875,1291,15,128,0,58,0,0,8,d382da0fe7823fe8c61949365c757a5bddd8182b,4662,2027,19,128,0,51,0,0,0
InsightSoftwareConsortium/ITK,07cb23f9866768b5f4ee48ebec8766b6e19efc69,7591,3360,29,68,0,213,0,0,4,35e3315e0248df1fa93ba4b0c90f4a49162d8abe,5506,2554,34,53,0,101,0,0,2
Itseez/opencv,c1007c7276e889f5f284702515a60b6799df9cd7,3330,848,37,30,0,4160,0,0,1,fd31234122a73e5585bccd9ca83cb2401967113f,3487,919,11,29,18,4786,0,1,0
KDAB/GammaRay,3d5cdd5353645676a23aafd9b8b1917694da3d87,154,13,0,12,0,552,0,0,0,c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,73,15,0,3,0,498,0,0,0
Kazade/kazmath,3b2de632783d5f566217094034a2a3366bf6efe6,21,5,0,0,0,377,0,0,0,e25d39df2f289a3d06fc3e2318cf61bdedf23b71,24,4,0,0,0,376,0,0,0
KhronosGroup/OpenCOLLADA,5c548d2fc16ef35aa275eb207c111e27332f8b56,2414,1256,0,23,0,2437,0,0,3,428019272e7af8608b9c3e05f9ae1c30187b5325,2308,1217,0,22,0,2441,0,0,3
KiCAD/kicad-source-mirror,2300697f0297ac64dd2ec3b38882bc670fbaef01,1184,291,0,5,5,505,0,0,0,474128a4452a9868e3e906fde219d665a795a530,859,412,3,23,0,39,0,0,0
Kitware/CMake,14f0378e103fd24915712cb94c98265ad18c8736,5310,2853,41,192,0,27177,0,0,9,81cdab5beaffc7665550710b84006a0a7ce76cfa,4378,2470,41,147,0,27067,0,0,2
KitwareMedical/TubeTK,4950ed986022d5248561dacdee7c2b043c9e80ac,252,81,3,0,0,0,0,0,0,357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,111,44,2,0,0,4,0,0,0
LaurentGomila/SFML,756cb09bc3caf7b543c495f9c40d3a48bdf31428,303,20,2,0,0,56,0,0,0,2de690f02db4114ff41142c152ed94a944aee265,148,17,2,28,0,63,0,0,0
LiberatorUSA/GUCEF,408b884adfb4ff62a5b7ec30798d704b91836d25,14319,4529,107,458,21,2612,0,1,39,6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,4220,1625,80,232,11,1084,0,1,3
ManaPlus/ManaPlus,4541175c81e5de39a3118729b7f5997d251b3d35,682,85,12,14,0,90,0,0,22,c01aec243610016c2cd5e4211fee484627bc69ea,431,78,11,8,0,140,0,0,4
MyGUI/mygui,d079917c3b8f448c3c4d06eb593272799a93d124,406,62,38,26,2,58,0,0,1,027f13b57a03ec258b50ba066e4b73deebd25f0d,325,27,38,2,0,53,0,0,1
RainerKuemmerle/g2o,deafc01ee8315b9405351fb145238c5d62f82dc7,388,24,5,4,0,58,0,0,1,8dec86fc74050a2d77c3fad0a010aa5c3a6a1010,278,17,4,2,0,45,0,0,1
SINTEF-Geometry/GoTools,fe9c60cda04c18494eefbd03635a893ddf85ab07,2855,391,16,0,17,7670,0,0,0,3fbcf74fa625ac71fa85860ecd6909d8f1c2831b,1406,178,14,0,0,6765,0,0,0
SimTk/openmm,feb79f770145bb12c99bbe058e29d077a381465d,1932,101,63,0,6,567,0,1,0,c77af6e9bc8e1419f3bba7bd9ef4b213a1d22d44,1940,162,35,0,49,319,0,0,0
