Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
lxde/pcmanfm-qt, 1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766 , 62990ca3954c0ab70d44d4381830b1d2d961c393 ,416,463,457,580,1114,199,41231,32134,46309,11088,190471,46123
mangosthree/server, 3014c5b370139db835dba70e860841e322b17849 , a4fe021054f1ae4779d4a1d44c2954871b72333b ,7234,18525,14878,33577,2058485,6343695,36827,35665,21070,109547,50504,584286
mavam/libbf, b6189bf6204d662294c9796f5f0e268251b5cebc , aafb2f1ab750b1a0d652aedea684123a1fbb0504 ,137,146,421,416,798,161,23678,23275,17946,6762,73800,37795
mempko/firestr, 127c15179382ed9a032ffdda629750bb28f3aea0 , 727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad ,511,183,1697,805,8312,49731,34827,31614,276895,160121,55180,65105
mickem/nscp, f7a2c746ac423095fc2d5105ff7ba98a2721b8bf , 9fdde883b0ac8028232a6bd89466070861d0a8d3 ,6825,5867,10439,7800,110086,94781,45796,36137,1052233,411021,233482,71956
mlpack/mlpack, 36470e9f6d3bf8d2f5e9202675c46b528881e4c1 , cd12d5a188663151a0f6a5f1db07a7cb4a2f377a ,2632,1085,5215,2171,12174,2958,54198,32572,1560150,588458,4087765,250824
mosra/corrade, 29612cc341633fa26c4c74c55920cb21ed4dd0ed , 402305e9e3f15dcb04e6f698e55f26d163f1fde5 ,780,388,1568,802,4086,1778,23978,33102,25670,18029,105798,58639
msoos/cryptominisat, 71e49ac7de4d3c104defa24556f92fbb8dded517 , 82c91dbfc7f585e455da835c330017811ebc058f ,2585,2340,2830,2836,243814,129889,71388,33432,82667,42482,333071,63098
musescore/MuseScore, b520dcaf3c88b06d2e418adbe187806c37a6aaf0 , 3a836d7fd60ffbc608679d3d7f4a2851f87e2273 ,10383,5548,20162,7573,1234935,273411,43025,44611,413206,223481,67137,1545650
nickbruun/hayai, 6959ca187e845f7fef1f0aa4704cbe695a8e2e45 , c9d74ca1e78837c1d92a9dfa61138c60e286746a ,1010,301,1902,447,20650,374,27207,25050,13502,9299,59772,41110
openclonk/openclonk, 3a2c68dcc98ba47ff38ffe9cc643ecf941efe7d3 , 416a65acde056d1612ae2ab65bbadd56c250a71f ,15849,11849,15399,10956,49936,92116,123259,83316,1275885,1702916,978679,678274
opengm/opengm, 3deaea58ba0cf9708c25cd03502e1cd9abec8875 , 9b059056ab99ed58072b5a092a23f2e4c4908386 ,1942,857,2283,950,36340,11781,68334,64495,175455,132502,706636,116534
openscenegraph/osg, 2cefcc8bfc1cb5636633ca120f471cc37761be94 , 28a9a235b6cecba439838d9dd92099ebfc0c2d3a ,8721,8182,16674,15410,120870,90547,84014,78826,4664775,3582770,9640585,8090159
orocos-toolchain/typelib, e220595fa4cce756ee2517d1536ec04dcd915baf , 4092381fa7f8c03b053cb4b0bddca4c40932634a ,624,464,1280,1066,2388,2860,38625,28046,111576,86084,269381,163274
percona/percona-server, 57c5564bb53bb9c46068b08846969383685ea60a , 1ceebf693b6f6a0a9917d17fefe272cbc8b0e088 ,97722,49217,137392,0,49624224,6511321,49262,591519,52316,468731,77920,444422
quassel/quassel, 0260fbe00ddbd1ce78b1870f40fce969b8f34ee5 , 24d1ad4c5918abf2f728cb98d556faef446c2d57 ,4230,2253,5646,3515,39594,25305,35934,39002,441829,263393,2464348,1660995
rime/librime, 707738900168336a75219ae5fc69fa08cc71a4b8 , 85b4901a444cc754e2de7a9c7d722457567897ca ,5462,510,10836,1257,143987,1482,34173,33688,389166,209382,840959,90419
root-mirror/root, e08b0c8495457c9affb2ff5cd8e169acbe905bd0 , 02ceaf84ff0a5e7c206d342632a7fd1b48b41423 ,68620,62507,135436,117356,0,0,746593,386846,5618372,124628,2,158874
sakra/cotire, 516d78476f6dda336181fc5514f72774e1e0a8e2 , 1c37a8651b5ef848fd3dc038052334f337b3a404 ,223,161,418,381,382,375,25268,24365,6500,6773,0,0
samstyle/Xpeccy, e3948f819d10575a30970f28b2c324b84496454b , 74ac092a259a36fe18193d6e6cb28e902c1ed672 ,1016,511,2447,1109,28284,22042,51460,45880,95378,37246,722567,233747
saschazelzer/CppMicroServices, 3b81b03f7e438f8600d33d319f03747fc8d74cf2 , 5693d645cc0c6147d2f59d533c423b40faa92499 ,2174,429,4083,853,47021,2131,79144,34114,122783,33533,345165,87761
scross99/locic, b4a1f9e83eb875c8cc906967205ae7639aa63cf5 , 0bf12d7ebb6c80f38f81891ee9470c6dea19c05b ,6090,718,6007,947,10262,1435,42950,25704,188981,11877,369004,83907
simongog/sdsl-lite, e681b5fe6f03224c1019ecce8268b767a9c9ba2f , cf5821b1aa2b3fd9ba19570f5e92ba15e3575db2 ,3250,3226,5435,6948,25876,47501,87948,33626,198714,37524,283292,91171
spring/pr-downloader,7762cedb9d2fb6e0bcdf224d8627d61af4f13d8d,2242e6b6fb451b771c5042bdf38390f968f4eeeb,4839,3129,9304,3790,18284,48701,0,0,0,0,241541,145326
stevenlovegrove/Pangolin, 31fe1b416a6e4e833c272eb9a67a3333d755361a , da62df163816e685d2fb3b91d913768d6b0ca58a ,1405,497,2524,853,5282,4331,46356,35468,185312,128099,126706,98494
strasdat/Sophus, 3f84e42a7a796bb6c9a1f57f5708911459a49221 , 6e9c6f976f428a38abab187ef893512db3fbe17e ,177,87,530,233,717,821,24604,24905,32761,25373,1304377,61549
stuntrally/stuntrally, 83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9 , b272ca782feffbe41e5d43d8ddb56688e397455e ,9609,5236,10322,7438,12348950,9285166,47611,44551,1412363,13325,187253,90971
supercollider/sc3-plugins, 5342a4ae8842c7361517001866e986c437f50648 , c164af363d6866b29697d54cf91858cc4769d176 ,6405,8049,11840,12470,1005728,976350,56100,29923,675005,172882,1716104,557415
supercollider/supercollider, cca12ff02a774a9ea212e8883551d3565bb24a6f , d74c81f9144f6f06ec79b40c87343f8a7a3890fe ,24173,25658,44952,44576,717958,689793,75986,122830,30779,1178491,54965,1582199
supertuxkart/stk-code, 1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd , b1caec75a1d88b3797a73cdec121685fad7f1374 ,12864,6666,20298,9581,697198,49702,50975,30873,19822,578950,85772,545979
symengine/symengine, 38781d745cab9bb45dd7358aa232031c8164eb44 , ecf1914df4a94fd0a56013238f5b6f5a7da4060f ,3503,2587,4710,2566,28390,11663,40045,24705,113704,27293,1513262,62523
syndicodefront/infekt, e9cb001894913d3694431c88c6461a895a64a7a9 , f0b561991b6a86ff16c79260da00930023d51fe1 ,893,736,1383,1108,7375,7739,34561,25186,24550,14630,96694,56691
taglib/taglib, cb9f07d9dcd791b63e622da43f7b232adaec0a9a , 2d7414733eaa3263868c74abfa6cff38a8afe8d3 ,2632,2595,4071,3433,10705,8816,48726,27077,215259,177192,546126,467473
texus/TGUI, 9e52329250317940daf636987b0985ada97f1de4 , 14b5bbd03cefb1ff03be64468c2b072c9af6942f ,1009,507,2795,831,15646,2982,25667,24548,74097,30679,258420,46900
thesamet/rpcz, f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260 , 0aa3f0227e795b840e989fc4abb0152e996e4df6 ,631,507,968,862,995,3121,32195,31789,44122,42746,80826,69996
thewtex/tmux-mem-cpu-load, 75b9ea756e60aadf335fd5514b38e4fe4cfcab6e , c40ab82bfaf4671ff8ba42aa7e3816833dc871b4 ,1087,807,1319,892,1148,953,29190,25245,13834,12770,52297,41956
tpaviot/oce, 41cc5b9007769de58fd7323a3c1ba729f2c0dc44 , 5ef3473d401ff12fa1588d8f4bb89c2d3a68080e ,166610,139469,171231,152878,282896,306801,471250,389213,314465,321756,0,0
tumi8/vermont, b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5 , c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa ,4744,4191,6254,5488,14216,12789,34687,34696,202640,197319,640935,424697
ukoethe/vigra, fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2 , 5237e35507373218c38a7a57a131f0680f3e8a44 ,11300,10220,10974,11693,203210,160078,62881,35264,616237,600311,1226340,280176
user-none/Sigil, 18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba , 4d2586791f67e5042b81862483dedf35ae22474c ,10798,16423,13910,33059,105997,126660,63789,45765,1028891,1019453,4132357,419601
vcmi/vcmi, 8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb , 2848fb6fef18ea869eb0584627747475f200f309 ,3293,2087,6762,4602,19934782,13247624,37027,37223,14772,13244,40991,603651
vinipsmaker/tufao, 0832f657926b580877f9d707d9d766d35885e07d , 09cbe4e23e793684bd382e56c11ac9cdae5611d0 ,1453,1520,2356,2294,61627,61336,25810,30110,39033,38705,105000,85114
wesnoth/wesnoth, 9e58caa5ff608e845c21048d61fff3856d913a22 , 050fbf73706c1dbe6c86c3c784e7ef91984ecd00,81534,89488,69477,68710,1099123,2003745,210364,111055,2438727,2395075,5536183,1247914
xrootd/xrootd, a26c586cf9dd002d7655e834df5365daa083c5da , 945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,6439,4998,8780,6575,28326,21775,59800,48816,309221,294532,1122598,0
