project,from, to,age,number_of_commits,number_of_releases, new_version,new_number_of_source_files,new_number_of_header_files,new_loc,old_version,old_number_of_source_files,old_number_of_header_files,old_loc
 supercollider/sc3-plugins, 20-Nov-2006, 11-Aug-2017,130,1050,8, 5342a4ae8842c7361517001866e986c437f50648,301,403,269205, c164af363d6866b29697d54cf91858cc4769d176,386,343,259189
 supercollider/supercollider, 6-Sep-2002, 6-Sep-2017,182,23142,83, cca12ff02a774a9ea212e8883551d3565bb24a6f,597,4300,1211700, d74c81f9144f6f06ec79b40c87343f8a7a3890fe,610,3866,1123495
 supertuxkart/stk-code, 27-May-2007, 18-Oct-2017,126,19962,19, 1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd,696,1050,564342, b1caec75a1d88b3797a73cdec121685fad7f1374,362,472,208537
 symengine/symengine, 10-Jul-2012, 4-Oct-2017,63,4862,3, 38781d745cab9bb45dd7358aa232031c8164eb44,157,86,93251, ecf1914df4a94fd0a56013238f5b6f5a7da4060f,17,27,11286
 syndicodefront/infekt, 25-Jan-2010, 3-Oct-2017,93,799,28, e9cb001894913d3694431c88c6461a895a64a7a9,60,54,24618, f0b561991b6a86ff16c79260da00930023d51fe1,47,45,21673
 syoyo/tinyobjloader, 19-Aug-2012, 16-Oct-2017,62,468,14, b434c2497fcb52aa1497b84aa8aeb12bb590492d,12,13,26203, b214cfb4b98be9464ff9f5a052a26fbbece52325,4,2,1297
 taglib/taglib, 17-Feb-2004, 30-Sep-2017,165,2503,20, cb9f07d9dcd791b63e622da43f7b232adaec0a9a,148,115,59117, 2d7414733eaa3263868c74abfa6cff38a8afe8d3,135,99,46448
 texus/TGUI, 5-May-2012, 12-Jun-2017,62,2025,26, 9e52329250317940daf636987b0985ada97f1de4,103,68,68465, 14b5bbd03cefb1ff03be64468c2b072c9af6942f,24,24,25833
 thesamet/rpcz, 25-Nov-2011, 25-Mar-2017,64,230,0, f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260,25,24,13956, 0aa3f0227e795b840e989fc4abb0152e996e4df6,25,24,13065
 thestk/rtaudio, 6-Dec-2007, 9-Jun-2017,115,298,26, e880888795c07fea44a5e6c7570bf09677527f37,13,12,20719, 3a3d648108cdaa53d1199aa3c15a4b8878693f65,13,12,20631
 thewtex/tmux-mem-cpu-load, 9-Sep-2009, 22-Apr-2017,92,270,15, 75b9ea756e60aadf335fd5514b38e4fe4cfcab6e,17,10,3897, c40ab82bfaf4671ff8ba42aa7e3816833dc871b4,3,1,2104
 tpaviot/oce, 10-Mar-2011, 11-Aug-2017,78,1971,36, 41cc5b9007769de58fd7323a3c1ba729f2c0dc44,165,135,1841066, 5ef3473d401ff12fa1588d8f4bb89c2d3a68080e,154,148,1960617
 tstack/lnav, 13-Sep-2009, 18-Oct-2017,98,1283,13, d9c42cdc29ecd899cb68a958d3672abf466ea5c5,113,123,119764, 708490e3b05ce5ca23ae0079ace5eda23741943a,85,83,40899
 tudelft-gist/val3dity, 21-Jun-2011, 16-Oct-2017,76,947,6, 657589d04c5b51d1fdee73ebbb8c25905064018b,8,32,22965, a492c0886d7823ccfa55a4fb4bff6b6c5a50d9e7,9,8,4082
 tudelft3d/val3dity, 21-Jun-2011, 16-Oct-2017,76,947,6, 657589d04c5b51d1fdee73ebbb8c25905064018b,10,32,24853, a492c0886d7823ccfa55a4fb4bff6b6c5a50d9e7,11,8,5970
 tumi8/vermont, 20-Mar-2005, 15-Jun-2017,148,1993,1, b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5,182,217,58290, c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa,178,214,56547
 ukoethe/vigra, 5-Sep-2000, 28-Jun-2017,204,5505,33, fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2,27,5,82716, 5237e35507373218c38a7a57a131f0680f3e8a44,27,3,58575
 user-none/Sigil, 2-Aug-2009, 16-Oct-2017,99,4003,33, 18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba,181,264,149470, 4d2586791f67e5042b81862483dedf35ae22474c,619,2739,806006
 vinipsmaker/tufao, 3-Oct-2011, 7-Aug-2016,59,823,56, 0832f657926b580877f9d707d9d766d35885e07d,100,98,35535, 09cbe4e23e793684bd382e56c11ac9cdae5611d0,103,121,34746
 vle-forge/vle, 31-Oct-2006, 11-Oct-2017,133,2515,56, 16a7d21646e4a7a176b23fac921b1a5863f23359,153,134,123198, c570afd193aaaa648a0173a92007451495116366,155,149,81148
 vogel/kadu, 9-Jul-2002, 17-May-2017,180,19516,135, 1ac3dfa68c2cc0b59588c3ae942ce33d74249d06,1279,1365,240894, 15d15da1bc420f22eb8a3cc2486a3184a20a7e6b,834,914,201638
 wdas/ptex, 23-Oct-2009, 13-Feb-2017,89,397,18, 59eac370e52af48a3f4dab77a60f91523c3e70ac,16,17,19240, 3492a71feb967d2844805eb3228cb72af5bc451b,16,17,19234
 wesnoth/wesnoth, 15-Sep-2003, 18-Oct-2017,171,76807,277, 9e58caa5ff608e845c21048d61fff3856d913a22,596,656,347539, 050fbf73706c1dbe6c86c3c784e7ef91984ecd00,495,542,285048
 worldforge/libwfut, 27-Nov-2005, 4-Aug-2017,142,145,4, 7e003179283a3a2643199cff9c5b9242b9d13f08,20,14,13586, c885c0d4ea51b8347893390b33e631d9dd8a288d,20,14,13586
 xoreos/xoreos, 26-Mar-2010, 22-Jul-2017,89,5961,8, a1bea660ce5cc74fa19a9d13afd85acdb2b56de0,670,605,401247, 494d9ea9c4c187dd21664e33c8a521bad62e5a05,408,465,228373
 xournalpp/xournalpp, 4-Jan-2011, 14-Oct-2017,82,996,3, 62312496092f5f717246f87d2ca85a739f609adb,213,222,61445, 38d235d457e8f25ec9e759421d078586c4fe7553,213,222,61474
 xrootd/xrootd, 7-May-2004, 18-Oct-2017,163,8807,335, a26c586cf9dd002d7655e834df5365daa083c5da,495,544,319364, 945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,410,427,239549
 zeromq/libzmq, 29-Jul-2009, 18-Oct-2017,100,6058,4, cfef04035c7eb9b1c2a64d785d1881bc80977478,212,140,67501, 9d9592f8307dc18c41a5878fe366a105884a8bf4,212,140,67501
 zeromq/zeromq4-1, 29-Jul-2009, 23-Sep-2017,99,3925,7, a3f98304da9024f2d0ac4e838a646c231ddff5ee,160,113,48822, 384f8522aa22ff595802ef1c0d8da11ccd81b862,137,100,38077
 zeux/pugixml, 6-Nov-2006, 24-Sep-2017,132,1486,11, a569e6a737714d33fe30284abcc2f1af1f856127,69,7,31492, f53bddd7d5c79c35145ab506e48b18c457026543,69,7,31492
 arangodb/arangodb, 26-Oct-2011, 13-Jul-2017,69,48827,355, 4e068d49b73c88350dcf37afcfe7c51c73a7e835,14505,16112,6579396,e0e003d0601882ed9cb1a730dddbff787c144043,1194,1430,1703969
 codership/mysql-wsrep, 31-Jul-2000, 31-May-2012,144,148627,1104, c70c68b76772a2f96723fb3c6332b7f1a6e11a4a,1175,1412,1699563,454661d78ee57078c9664c6441e15ed2c3b8db21,1127,1383,1617427
 facebook/mysql-5.6, 31-Jul-2000, 28-Mar-2012,141,112567,125, 037c4910b360633160d97cc002c60576dea85393,1219,1481,1781708,45f59a05cc6bcf72aa9322f5802cee6a6f98c211,1185,1432,1705255
 hpcc-systems/HPCC-Platform, 11-Jul-2011, 16-Mar-2017,69,19834,373, f2e903ffa48a4468f3718d516e240bd288719708,1077,1018,1138133,a2eb7f9cb93700e77e38cbd31ed47af187229b5b,966,912,989062
 falkTX/los, 11-Sep-2012, 22-Mar-2017,55,160,0, 6ad4052cfd0a552f387bb05028b51d9c6dde9610,190,198,122516,3d4b10e3fc4e435c6df0505a4bf58902fa78d227,241,243,152047
 mangosthree/server, 26-Mar-2009, 3-Jul-2017,100,8194,9, 3014c5b370139db835dba70e860841e322b17849,742,382,563602,a4fe021054f1ae4779d4a1d44c2954871b72333b,1356,1444,1014776
 percona/percona-server, 31-Jul-2000, 28-Jun-2012,145,134440,943, 57c5564bb53bb9c46068b08846969383685ea60a,2033,2442,2465876,1ceebf693b6f6a0a9917d17fefe272cbc8b0e088,824,1070,1061287
 stuntrally/stuntrally, 19-Mar-2011, 25-Jul-2017,77,5694,18, 83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9,225,211,117402,b272ca782feffbe41e5d43d8ddb56688e397455e,301,369,187354
 tesseract-ocr/tesseract, 6-Mar-2007, 13-Oct-2017,129,2623,21, fb359fc981f048328bee206fbcf69f2218ae1ee0,283,283,211385,38f3db8ca52ea6a4f3697fc15c9acb827be758b8,281,296,211658
 triAGENS/ArangoDB, 26-Oct-2011, 13-Mar-2017,65,48951,347, 9b22174c66d1c805c0c6baac4397ca9933ee0c18,14500,16108,6541529,39fd596abcd878e918435d10928e79e1f3ef2359,1165,1647,1701502
 vcmi/vcmi, 28-May-2007, 1-Nov-2016,114,7134,38, 8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb,215,238,163178,2848fb6fef18ea869eb0584627747475f200f309,138,158,121092
 cmangos/mangos-wotlk, 26-Mar-2009, 4-Jul-2017,100,8737,12, 73cb0915ecfdd2694a0b7aa4bd9ba56e975638db,855,696,691648,5c72a7f8302399a9c041acacf377c08d89d77a8e,861,672,681078
 SINTEF-Geometry/GoTools, 19-Jun-2009, 2-Nov-2017,101,1306,1, fe9c60cda04c18494eefbd03635a893ddf85ab07,886,510,539707,3fbcf74fa625ac71fa85860ecd6909d8f1c2831b,732,467,402044
