project,from, to,age,number_of_commits,number_of_releases, new_version,new_number_of_source_files,new_number_of_header_files,new_loc,old_version,old_number_of_source_files,old_number_of_header_files,old_loc
 WCSim/WCSim, 10-Jun-2010, 27-Apr-2017,83,823,11, 05950d9609f1519397991df89d88c03c2ee6235b,47,36,16554, 6bcfbafcf99436b5cfc426cb37eaf11d6265c67d,44,33,13623
 Z3Prover/z3, 2-Oct-2012, 6-Nov-2017,62,7839,9, 3350f32e1f2c01c9df63b7d71899796a18ce2272,764,857,543977, 44d4902bb4bd52c1c074d3189da078cd12ff64b6,704,743,476455
 Zeex/samp-plugin-jit, 23-Feb-2012, 14-Jan-2017,59,923,35, cc93e169de9c136ce0f8f02c4f721aa17569d630,45,58,65387, 38ab1abd4c8b0a4f0b101c13ffec71bc8939f29c,45,54,51539
 Zeex/samp-plugin-profiler, 19-Jul-2011, 15-Jan-2017,66,803,35, 48042dfd560b07cc727887cf15da1a5245d4b725,32,41,7128, f037c40e9706aa5e9d858d65eead648b6e725be9,21,32,4744
 actor-framework/actor-framework, 4-Mar-2011, 10-Jan-2017,71,4210,58, 9fb82f556760e1004e27fb4d303499b603a3fc19,193,271,68586, 7fb9fdb9eeeae6d5311d3aa5d12acabe3471212d,105,191,42689
 akrzemi1/Optional, 28-Nov-2012, 24-Mar-2017,52,127,0, 8456c3923776b33b4ae852734273fe934c3e4e61,2,1,2638, 0507870a7e537706e8005297f9eed82b60626518,2,1,2517
 alecthomas/entityx, 20-Sep-2012, 21-Feb-2017,53,351,9, de3fd13d72d82b507469a3ed8798d483df6bc5d1,28,12,12738, 59f62b5c0df10be433b9380777e4d5a649d03d95,24,5,1715
 alembic/alembic, 27-Jul-2010, 30-May-2017,83,1592,11, 048eb1201a37ed309909c1ac4e168968e1730b58,325,253,139031, 277684c561f6e6c1d6a3bfba4bdb6c83e5618978,211,194,94054
 apache/thrift, 16-May-2008, 27-Jun-2017,110,5186,13, 5b4c6bfc627ddbd56d1e98d4b818bec8cd8a5efd,173,212,133530, 11c3569720853d3339b82fc0231d54260ccf5fa8,156,198,117824
 aras-p/glsl-optimizer, 14-Feb-1998, 29-May-2017,234,66928,0, 21b98a985423eec771600d2db0fbf6d340106af9,103,61,88101, e06b8e7eaa830260a16f1b0938706fe0394b1c27,104,61,88269
 arx/ArxLibertatis, 15-Jan-2011, 1-Jul-2017,78,14876,10, c5c4e4668edb402fd55dfeeb462fe4ae3d85b1d1,286,319,162895, bb2893ca91989a9929b4e54ac9fdb092f7fe4dda,188,216,176566
 biometrics/openbr, 19-Dec-2012, 8-Jun-2017,54,3761,13, d0fcef6248cdca941ad29bf40adae7d5a27b158a,1053,506,221331, 927b7781d935f4953351e0436717bc3d124040a3,654,417,157634
 bolero-MURAKAMI/Sprout, 1-Sep-2011, 1-Jun-2017,70,1196,0, 59c5e7874c6b48b670fce5d42c5344f662f574c9,171,2629,199027, 93e22a984db9251e474b4df8ce41a076c7594669,165,2053,164688
 brezerk/q4wine, 15-Sep-2008, 29-May-2017,105,1342,26, edf81923f1f834c11876b4982e8548faacdbd2bf,62,58,31852, 828f8c4bbd9dc45e1f8d5ea70cf95a19a9715779,58,53,29619
 brndnmtthws/conky, 20-Jul-2005, 11-Feb-2017,140,3760,33, a58a6d4e081ca6ab241f20fcae80a6b6c31bf1c9,72,79,40531, 0e1f4526b425401a4ef882b5b1f104384e1f3c15,71,75,38151
 bro/bro, 27-Sep-2010, 27-Jun-2017,82,8352,28, b527a9870da02e053e08803083f271b6f5eb28c1,415,418,207551, 34ead91f992cbc40dcb81053343e2ef60a3aff61,268,334,175250
 bro/pysubnettree, 4-Nov-2010, 5-Jun-2017,80,183,16, 812f158ab98f3a46d50a0288fbd4d7692f9de651,2,2,6251, 00cc7fa9a53410cff1369501eb3d4ae28ca4bc9d,2,2,5851
 c42f/tinyformat, 27-Jul-2011, 2-May-2017,70,121,8, d563f7fbcdce8f72751d5455e44e995ed7ead949,2,1,1386, 3a33bbf65442432277eee079e83d3e8fac51730c,2,1,1381
 casadi/casadi, 1-Dec-2010, 25-May-2017,78,12743,60, 64b7712a548e929515ba68b271e60c42546742ef,214,349,166003, f023bea7221d67bc60f7211fbe8dc2bbdcb1b9da,215,219,93490
 cern-it-sdc-id/davix, 25-May-2012, 11-May-2017,60,1341,31, 32c5f3cf934500a570703c8f6bfc06ede10ed4b8,199,184,132926, c40724b841bd58fa81af8dbf5768005e09727dd0,232,183,187772
 chenshuo/muduo, 12-Mar-2010, 23-May-2017,87,760,53, 44879bf25ff60187dcaa938a637d6ec50fd8531d,206,93,32882, 8d8868e7a55cfa11c094a8efb9ee1884a9349d03,142,70,19267
 christopho/solarus, 27-Jul-2006, 3-Apr-2017,130,11198,56, cc30297016e6deb1fbcd0b49f07e6c2059645014,213,216,108976, 903d97ddca870ca89532118e7ec7590b8f1dec3d,175,186,77446
 cinemast/libjson-rpc-cpp, 30-Dec-2012, 29-May-2017,53,947,13, c2453c967b2059eeb77a387a0827c0cf87f816e0,61,50,9960, 546d7083118fea9531342becd030069804b39a43,10,21,7468
 clintbellanger/flare-engine, 3-Jun-2011, 14-Mar-2017,70,5645,7, 4fcdc4939a3544a5823b782dd90ae5b244a0eb10,109,108,51027, f2918d2ce7d8176c8a33445e8bb33dccab93f909,65,64,22310
 cmangos/mangos-classic, 13-Oct-2008, 1-Jul-2017,106,5622,1, 806a7883c5827925450f89e0d280f6c967357c50,571,643,521633, 343d5851ef8053d17c9d540f071744a86fd323d5,566,605,493507
 codelibre-net/schroot, 21-Jun-2005, 2-Jun-2017,145,2884,93, 039d559fc8ae83e9f383f00ea17e0b7f84051a44,73,59,29700, 74c8f8c2ae2d0939ae4d458c0c459f8fb7c2f8d0,96,76,34558
 coin-or/CppAD, 12-Jul-2005, 28-Jun-2017,145,3656,17, 40e2ccaaca4760f72dca0867aaaad97270186c5d,411,270,150408, 6b1bcfe2985623f04cdc0eca3130b12d9ad8db6e,333,229,111250
 colobot/colobot, 8-Mar-2012, 29-May-2017,63,2932,15, 92a8140b778675a769440dc206b11b8012734bff,294,355,211524, f67a62fb28c882b1650b827730bac72f404e2c47,155,152,160285
 commontk/CTK, 9-Mar-2010, 28-Jun-2017,88,5469,0, f96b5014aac1d76468f03a708446cd334a8aba84,976,722,252287, 2ace7a3a58f1fe00fa47494c73966afce2d81ea0,789,571,191394
 commontk/DCMTK, 2-Nov-1995, 21-Apr-2017,261,8986,0, d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d,909,964,817486, ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8,495,545,459367
 cppformat/cppformat, 7-Dec-2012, 11-Mar-2017,51,2636,15, c03f55ec3a0511611fa7f0537f858544a0ed03bd,28,15,60249, 251e8774b010b0e21ac774bd3196aabcd2f3b2d2,5,2,4910
 cpputest/cpputest, 24-Jun-2007, 2-Feb-2017,117,3277,8, 16ee2828a7bbfff1f43c259e3e75655bc76e980f,140,79,38291, 126a87ac28ed6f175158803964212be727680625,113,78,24901
 csete/gqrx, 28-Oct-2010, 16-Mar-2017,77,1577,21, 4a66a03fcdd5ef1d929825d67793b0111c81e79a,58,69,33737, 4268098879c3f13a3f5646ad6f96cce22475965e,55,64,30825
 danmar/cppcheck, 7-May-2007, 16-Mar-2017,120,16968,57, 7c0aa4464c3d23fd499985fdc5fb4b24f54ff7bf,170,107,186546, dd9cb929bf0acdd897c3c48d957e5eb24df1e2d3,161,99,174688
 ddemidov/vexcl, 18-May-2012, 14-Mar-2017,58,1794,57, 9da8cb44da3cce1b3f1542fb4615069a208470ee,53,104,54125, 6cf94a715c054e9214c59b51fa3861fd7eca5f9d,9,20,13242
 dermesser/libsocket, 7-Feb-2012, 21-Mar-2017,62,551,11, 5bbe6858b61c58b20d1e28a35f3135fb707e1570,34,22,5380, 7052dd2803328b702c4b9b422b050a0af82f9be0,29,19,4331
 deskvox/deskvox, 17-Nov-2005, 1-Jun-2017,140,3172,2, 96e52235b5397d800f15971594327bdd3d7eacc0,146,207,107180, 9dc865c914b037299da11901c5a793cb6ff824d7,95,109,86309
 dorkster/flare-engine-next, 3-Jun-2011, 25-Jun-2017,73,6088,7, def388a7eecbfb2ac750e6b20507d5272d723dfc,112,112,65520, 5c74d8c8a954c2ea367c69a8efc8a60ce69ec892,73,73,26482
 dune-project/dune-common, 17-Mar-2003, 31-Mar-2017,170,10051,35, 45c3f0ac13fd5db5ece0b6bec9e50d7407d0d660,75,113,41956, 1dceeb491a6ea08d191da279441e4da2a41db55b,61,88,37506
 edubart/otclient, 8-Nov-2010, 13-May-2017,79,2584,9, 8c731ac016d95407eed6c2767945a97fbdd4fa83,151,179,65159, c01b32b03255989497ca5331de898804e6a39a1b,110,139,41163
 elemental/Elemental, 20-Mar-2010, 17-May-2017,87,3908,13, 351bc9460dcc58be62e9b42902e49640a97c0b0e,562,676,341979, f96177ebcc0ad2a6598579df0d9fcae1babe26f5,71,304,139019
 esa/pagmo, 4-Dec-2008, 11-May-2017,102,2653,3, 60d8566e2e771975fc84712fb46866007f9b3400,238,492,209761, ea8777a49c9e8e6bff2e7ae9b7a45d419f223490,172,436,132339
 etano/simpimc, 23-Jun-2011, 3-Jan-2017,67,549,3, 943fb6e3ec399b1f7b9ea075a447806f4522a6fd,2,48,7019, e5d32c6fbf52c18c3992ffff1409dfd132ad5eec,48,36,15914
 eteran/edb-debugger, 19-Jul-2011, 23-Jun-2017,72,2498,3, c656659b881cf8693b3584b923a128dc3597b8fa,149,197,68461, 76fe545b9390d41d2f5365cf785fcd455a67b5a5,148,194,67299
 euroelessar/jreen, 28-Sep-2010, 6-Jan-2017,76,389,12, c04c229d2ead96db1af31e55c81d6ab00fb65a7b,137,167,47585, 9cb0ae2f89024ec6261090da02a3f23ca4b392d3,137,167,47541
 freeorion/freeorion, 29-Apr-2003, 12-Jul-2017,172,15600,28, 611758cf90e990070cafe728c61b689d399dd5f7,248,226,209514, d6a00202da402c425dfeb64854288543ab820dfc,215,325,146309
 freundlich/fcppt, 13-Dec-2009, 2-Jul-2017,91,2597,30, 652b63c63e241376f535a470874adbcbd4e7f623,488,1430,139747, 6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2,263,920,82733
 freundlich/mizuiro, 12-Jun-2009, 6-May-2017,96,547,0, e1a77ff94cf11f5d2515424a923886cb62cb02dc,31,682,41057, 4f5fe1d02598404283d3783333cddda87dc7418e,22,372,24737
 gemrb/gemrb, 2-Oct-2003, 16-Jun-2017,166,16966,26, 90cda6b99ac13abe63e3929245b8f034eddeb9b3,214,241,173456, a186784bde3c0507abd9752f59f4e6f92d57bf4d,214,237,164790
 gflags/gflags, 18-Dec-2006, 2-Apr-2017,125,446,24, 4a694e87361d08eff5c4c9e9f551b1a0d41f7c40,17,3,8984, f7e89ba9ea82ed2a79413b7c323bca79ac26c747,13,3,8628
 gnuradio/gnuradio, 3-Aug-2006, 15-Mar-2017,129,12432,86, ac5109d25a9d94386429dd9e806268d29c8e2aac,732,1375,294372, fd52df0f706195d937e287189024f8aa6fbeaf60,564,902,178702
 google/glog, 3-Sep-2008, 7-Mar-2017,103,290,11, da816ea70645e463aa04f9564544939fa327d5a7,19,23,12962, 95cde7af2f115daa2881b329864c6d2e276671f5,19,23,12876
 highfidelity/hifi, 10-Aug-2012, 17-Mar-2017,56,61029,2285, e1a0984fed4be37a8582972587222a38ecebc7f7,789,822,344846, ad0b2f024b0c4c8c38236d8888e7cd585e995d83,45,159,86191
 hluk/CopyQ, 21-Oct-2009, 19-Mar-2017,90,3764,72, 652ea527c37902566da9bcb152af3d1753426d4e,138,157,69964, 313d9245bb907d61b8e1b8530246d9033302e97b,31,23,12896
 imageworks/OpenColorIO, 16-Jun-2010, 22-Jun-2017,85,815,39, 6b744f2b4543d16f77b3fe19ae05b67c56a13673,117,58,61547, b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d,113,65,61488
 jbeder/yaml-cpp, 25-Jun-2008, 7-Mar-2017,105,1186,14, 0fdb1b910c1a31db80b7521446166d06cad10813,145,110,188819, c335c8dd753c2b5f456a42e6dc33da16b7203713,42,68,27212
 jktjkt/trojita, 27-Feb-2006, 12-Jun-2017,137,6542,37, 58690b61d1ee66b49b4be2b9c6b1460fc8278fa7,233,258,100342, 964169993489856c7342a05369456fe9ede5478c,194,207,81335
 juj/MathGeoLib, 31-Aug-2011, 20-Jun-2017,70,1911,6, 07680b7cfcca72c3f852dd248eb26e4ca3e26530,70,69,64960, 662276c250314488cb2e76dbb65c32c6ed1684c3,30,51,34072
 koreader/crengine, 14-Mar-2007, 8-Jun-2017,124,4139,0, d0854294e0a9259d9c160b5fe9c91a123a63528b,281,628,352895,82509784f8e1fdbf9998f2806ace69babff9e15c,279,593,333073
 lalinsky/chromaprint, 24-Jul-2010, 4-Mar-2017,80,425,16, 22daf0e01ce46145d916112094997c3003c298c8,49,62,10295, 33307a55f21f3bebbcb901ae525d4f383b0a0181,56,53,10226
 lballabio/QuantLib, 20-Oct-2000, 29-Jun-2017,203,12189,22, e65dd7b6cbd54bc64f909259ab3311a8a5d006d6,1027,1444,498324, 606024a75b34e9f8c45de395653717136468f4bd,1011,1418,490281
 ledger/ledger, 29-Sep-2003, 26-Oct-2017,171,6508,28, bc8136fa6fbb74febee99735c8bd603b1f12ddef,76,63,51364, 63a14fd5e0aeb64a0508ddac71803acc926425c5,74,60,49788
 leethomason/tinyxml2, 28-Dec-2011, 6-Mar-2017,63,940,8, 395ea09f83cfa34d848cea25b8a64d7ae3858ada,3,1,6854, c510a8c76ed48177e08471403f92d78056a3af21,2,1,5285
 lemire/FastPFor, 26-Jun-2012, 21-Jun-2017,60,345,8, bae51c0f8f7c50c179e10a84d0a3e137bbc062d7,15,50,80711, bf307bdfca05bca3fe02eaab00cbf734aafa3c2e,14,40,62293
 libpinyin/libpinyin, 27-Jul-2010, 7-Mar-2017,80,1932,49, 2919d7d4b9facf175d4da33418dfbb9945f4bb15,63,54,40939, 230ee9362a2908e982ff7ff1766d070249cac5ca,48,29,24248
 libspatialindex/libspatialindex, 1-Aug-2007, 20-Apr-2017,118,465,3, 4768bf3e9ce5ab80c639a6017f5c1e9d093ea515,132,88,117018, 9a39ed4c01ce4f5f54e236d716f467a22aca6968,57,54,30943
 lightspark/lightspark, 23-Nov-2008, 7-Jan-2017,98,6185,45, 308241eb55c5379765033e60f28dfdd956c7abcd,197,290,165591, 18956fb0c94992f98f707af12b4b107ed4631d25,84,86,75014
 litehtml/litehtml, 1-May-2012, 7-Apr-2017,60,260,3, d7cc6abfe1141770718404aaf9b17db80ed3f196,41,68,19686, 13cf9e27bd0a08ab67eb969c7ddf8ed92aa07db8,41,68,19686
 loot/loot, 6-Nov-2012, 13-May-2017,54,3001,18, f1e4c4fe6a54688d6e83fb5043324bff8f9af4d0,13,54,7795, 030e828e251d61ecfdac41db102673471859a290,13,17,10204
 lotem/librime, 17-Mar-2011, 19-Feb-2017,72,1265,12, 7f41f6527ffedcfccc16f7e4b93a3048f33cf19e,600,517,467900, bb1f48a36a835bd31dd7cb64c4faf738c80cc75d,70,78,24870
 lxde/pcmanfm-qt, 19-Aug-2012, 17-Jan-2017,53,739,12, 1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766,15,14,7916, 62990ca3954c0ab70d44d4381830b1d2d961c393,8,7,1265
 marek629/SIR, 29-Mar-2011, 24-Mar-2017,72,820,15, 49668de22b1954a3f97283f0068736fe8c483eee,139,144,33078, 1d0333cc691c7b30020e64e4775811541edafb8c,47,49,16772
 martinrunge/muroa, 16-May-2005, 14-May-2017,146,631,0, d3a9d5078fac3f8baa48cd899ce7810c5cc0e4a3,305,325,115861, 3fdb0f8529e8e34df6778782c36e2a87d54bcf94,241,232,74431
 mattgodbolt/seasocks, 16-Dec-2010, 1-Jun-2017,78,464,21, bc32e790376cb58fccb13d8a6499e60d729c172c,41,42,18371, 636d1fd54b15abd8105f73be9f1590d8d7b3a564,31,37,17008
 mavam/libbf, 17-May-2011, 29-Jun-2017,74,122,1, b6189bf6204d662294c9796f5f0e268251b5cebc,12,20,4526, aafb2f1ab750b1a0d652aedea684123a1fbb0504,5,18,2745
 mempko/firestr, 31-Jul-2012, 17-Jun-2017,59,2002,0, 127c15179382ed9a032ffdda629750bb28f3aea0,74,109,48402, 727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad,39,44,20258
 meta-toolkit/meta, 22-May-2012, 13-Mar-2017,58,2635,23, bfdb91019ca1c3ad998b10b244cc053ae3483fb2,284,1143,359593, f8accc1b188fa7d2d2b6cc890abcf29bca61ffb6,164,997,317786
 mfontanini/libtins, 10-Aug-2011, 31-Jan-2017,66,1172,11, 7607610cf97bf2923ddd64bcb17a44128e036862,266,139,148234, fb97b2b8f0182b2139881e41621eea15114f82d8,233,123,135552
 mickem/nscp, 14-Feb-2005, 28-Jun-2017,150,2197,126, f7a2c746ac423095fc2d5105ff7ba98a2721b8bf,505,653,327337, 9fdde883b0ac8028232a6bd89466070861d0a8d3,404,601,227899
 mlpack/mlpack, 13-Mar-2007, 18-Mar-2017,121,17836,25, 36470e9f6d3bf8d2f5e9202675c46b528881e4c1,200,625,171477, cd12d5a188663151a0f6a5f1db07a7cb4a2f377a,72,145,43148
 mosra/corrade, 10-Jul-2010, 20-Jun-2017,84,2210,9, 29612cc341633fa26c4c74c55920cb21ed4dd0ed,98,62,31038, 402305e9e3f15dcb04e6f698e55f26d163f1fde5,34,33,7841
 ms705/firmament, 9-Aug-2011, 19-Jun-2017,71,2235,0, 091b99ba3a58aea5d0594e61291c10417bcdd234,107,120,38819, 3a84f6c01ce87d5045c0675bebb01c5e903b4cb3,105,114,33634
 msgpack/msgpack-c, 15-Feb-2009, 16-Mar-2017,98,2275,38, 99c4d37a399f5bb32234bfe2b18cbd826e8f77f6,91,1051,155659, dac5c60608212494b84e244f3fe55f5b2d6a8174,49,455,79189
 msoos/cryptominisat, 10-Aug-2009, 16-Jun-2017,95,10873,13, 71e49ac7de4d3c104defa24556f92fbb8dded517,162,126,113188, 82c91dbfc7f585e455da835c330017811ebc058f,111,86,86980
