repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
opengm/opengm, 0, 0, 0, 0, 0, 0, 0, 0
openscenegraph/osg, 2.54500, 3.89200, .09700, .39100, 0, 93.07200, 0, 0
orocos-toolchain/typelib, 0, 0, 0, 0, 0, 0, 0, 0
percona/percona-server, 0, 0, 0, 0, 0, 0, 0, 0
quassel/quassel, 0, 7.69200, 0, 0, 0, 92.30700, 0, 0
rime/librime, 0, 0, 0, 0, 0, 0, 0, 0
root-mirror/root, 0, 0, 0, 0, 0, 0, 0, 0
sakra/cotire, 0, 100.00000, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, .91400, 1.18200, 0, .26700, 0, 97.63500, 0, 0
saschazelzer/CppMicroServices, 0, 0, 0, 0, 0, 0, 0, 0
scross99/locic, 76.74400, 4.65100, 0, 0, 0, 18.60400, 0, 0
simongog/sdsl-lite, 0, 0, 0, 0, 0, 100.00000, 0, 0
spring/pr-downloader, .19500, .39000, 0, .03900, 0, 99.37500, 0, 0
stevenlovegrove/Pangolin, 0, 0, 0, 0, 0, 0, 0, 0
strasdat/Sophus, 0, 0, 0, 0, 0, 0, 0, 0
stuntrally/stuntrally, 14.94200, 21.83900, 0, 0, 0, 60.91900, 2.29800, 0
supercollider/sc3-plugins, 5.01700, 3.22500, 0, .71600, 0, 91.03900, 0, 0
supercollider/supercollider, 0, 0, 0, 0, 0, 0, 0, 0
supertuxkart/stk-code, 0, 0, 0, 0, 0, 0, 0, 0
symengine/symengine, 0, 0, 0, 0, 0, 0, 0, 0
syndicodefront/infekt, 0, 0, 0, 0, 0, 100.00000, 0, 0
taglib/taglib, 0, 0, 0, 0, 0, 0, 0, 0
texus/TGUI, 0, 0, 0, 0, 0, 0, 0, 0
thesamet/rpcz, 0, 0, 0, 0, 0, 0, 0, 0
thewtex/tmux-mem-cpu-load, 0, 0, 0, 0, 0, 0, 0, 0
tpaviot/oce, 0, 0, 0, 0, 0, 0, 0, 0
tumi8/vermont, 10.38200, 2.33600, 0, 9.73300, 0, 77.54700, 0, 0
ukoethe/vigra, 1.28700, 1.00100, 0, 0, 0, 97.71100, 0, 0
user-none/Sigil, .28600, .74800, .01500, .08700, 0, 98.86200, 0, 0
vcmi/vcmi, 0, 0, 0, 0, 0, 0, 0, 0
vinipsmaker/tufao, 0, 0, 0, 0, 0, 0, 0, 0
wesnoth/wesnoth, 0, 0, 0, 0, 0, 0, 0, 0
xrootd/xrootd, 0, 0, 0, 0, 0, 0, 0, 0
