repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
lotem/librime, 70.49100, 29.50800, 0, 0, 0, 0, 0, 0
lxde/pcmanfm-qt, 0, 0, 0, 0, 0, 0, 0, 0
mangosthree/server, 67.17500, 29.58900, .68700, .67000, 0, 1.87700, 0, 0
mavam/libbf, 0, 0, 100.00000, 0, 0, 0, 0, 0
mempko/firestr, 73.05300, 24.55000, .59800, 1.79600, 0, 0, 0, 0
mickem/nscp, 70.65800, 22.61900, 2.03000, 1.19000, 0, 3.50100, 0, 0
mlpack/mlpack, 14.89300, 8.51000, 11.70200, 64.89300, 0, 0, 0, 0
mosra/corrade, 94.87100, 2.56400, 0, 0, 0, 2.56400, 0, 0
msoos/cryptominisat, 75.38400, 16.92300, 7.69200, 0, 0, 0, 0, 0
musescore/MuseScore, 93.50300, 6.05800, 0, 0, 0, .43700, 0, 0
nickbruun/hayai, 0, 0, 100.00000, 0, 0, 0, 0, 0
openclonk/openclonk, 73.92400, 24.75800, .35100, .43800, 0, .52600, 0, 0
opengm/opengm, 24.99900, 0, 75.00000, 0, 0, 0, 0, 0
openscenegraph/osg, 83.33300, 15.40200, .82500, .23200, 0, .20600, 0, 0
orocos-toolchain/typelib, 74.19300, 6.45100, 0, 19.35400, 0, 0, 0, 0
percona/percona-server, 70.02900, 25.83100, .64300, 1.48700, 0, 2.00800, 0, 0
quassel/quassel, 81.08100, 10.81000, 8.10800, 0, 0, 0, 0, 0
rime/librime, 67.79600, 32.20300, 0, 0, 0, 0, 0, 0
root-mirror/root, 60.34200, 31.82700, .84300, 1.98200, 0, 5.00300, 0, 0
sakra/cotire, 0, 0, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, 83.90800, 16.09100, 0, 0, 0, 0, 0, 0
saschazelzer/CppMicroServices, 16.66600, 83.33300, 0, 0, 0, 0, 0, 0
scross99/locic, 60.00000, 39.99900, 0, 0, 0, 0, 0, 0
simongog/sdsl-lite, 87.76900, 6.47400, 5.75500, 0, 0, 0, 0, 0
spring/pr-downloader, 59.51300, 38.93800, .22100, .33100, 0, .99500, 0, 0
stevenlovegrove/Pangolin, 88.46100, 3.84600, 0, 0, 0, 7.69200, 0, 0
strasdat/Sophus, 0, 0, 0, 0, 0, 0, 0, 0
stuntrally/stuntrally, 79.44500, 14.08700, 5.77300, .23000, 0, .46100, 0, 0
supercollider/sc3-plugins, 81.52100, 15.89600, 1.22200, 0, 0, 1.35800, 0, 0
supercollider/supercollider, 72.58500, 25.17700, .81400, .53700, 0, .88400, 0, 0
supertuxkart/stk-code, 73.06500, 15.78900, 9.59700, 0, 0, 1.54700, 0, 0
symengine/symengine, 0, 0, 0, 0, 0, 0, 0, 0
syndicodefront/infekt, 80.64500, 15.32200, 0, 0, 0, 4.03200, 0, 0
taglib/taglib, 67.24100, 3.87900, 0, 28.87900, 0, 0, 0, 0
texus/TGUI, 100.00000, 0, 0, 0, 0, 0, 0, 0
thesamet/rpcz, 62.50000, 37.49900, 0, 0, 0, 0, 0, 0
thewtex/tmux-mem-cpu-load, 33.33300, 33.33300, 0, 0, 0, 33.33300, 0, 0
tpaviot/oce, 67.11800, 31.40900, .03800, 1.41300, 0, .01900, 0, 0
tumi8/vermont, 67.61300, 17.80300, .56800, 0, 0, 14.01500, 0, 0
ukoethe/vigra, 83.33300, 16.66600, 0, 0, 0, 0, 0, 0
user-none/Sigil, 70.82900, 26.05900, .13500, 2.88500, 0, .09000, 0, 0
vcmi/vcmi, 70.53500, 26.48800, 2.38000, 0, 0, .59500, 0, 0
vinipsmaker/tufao, 100.00000, 0, 0, 0, 0, 0, 0, 0
wesnoth/wesnoth, 77.68500, 13.38800, 3.63600, 1.48700, 0, 3.80100, 0, 0
xrootd/xrootd, 63.95600, 31.49100, .21200, 1.32800, 0, 3.01000, 0, 0
