repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
mickem/nscp, 8.39100, 3.49600, 0, 0, 4.19500, 83.21600, .69900, 0
mlpack/mlpack, 0, 0, 0, 0, 0, 0, 0, 0
mosra/corrade, 14.28500, 0, 0, 0, 0, 85.71400, 0, 0
msoos/cryptominisat, 8.02400, 4.32000, 0, 0, 0, 87.65400, 0, 0
musescore/MuseScore, 46.88500, .49100, 0, 0, 0, 52.62200, 0, 0
nickbruun/hayai, 0, 0, 0, 0, 0, 0, 0, 0
openclonk/openclonk, 16.97800, .93500, 0, 0, .26700, 81.81800, 0, 0
opengm/opengm, 0, 36.00000, 0, 0, 0, 63.99900, 0, 0
openscenegraph/osg, 55.82100, 2.91000, 0, 0, .25600, 40.58200, .42800, 0
orocos-toolchain/typelib, 0, 24.24200, 0, 0, 18.18100, 57.57500, 0, 0
percona/percona-server, 0, 0, 0, 0, 0, 0, 0, 0
quassel/quassel, 22.22200, 1.23400, 0, 0, 0, 76.54300, 0, 0
rime/librime, 7.14200, 0, 0, 0, 14.28500, 78.57100, 0, 0
root-mirror/root, 45.48600, 5.17200, 0, 0, .02800, 49.27000, .04200, 0
sakra/cotire, 0, 0, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, 23.07600, 34.06500, 0, 0, 0, 42.85700, 0, 0
saschazelzer/CppMicroServices, 22.64100, 1.88600, 0, 0, 3.77300, 71.69800, 0, 0
scross99/locic, 2.77700, 5.55500, 0, 0, 2.77700, 88.88800, 0, 0
simongog/sdsl-lite, 10.69100, 8.17600, 0, 0, 0, 81.13200, 0, 0
spring/pr-downloader, 22.72700, 11.36300, 0, 0, 0, 65.90900, 0, 0
stevenlovegrove/Pangolin, 22.33500, 5.58300, 0, 0, 5.07600, 67.00500, 0, 0
strasdat/Sophus, 0, 0, 0, 0, 0, 100.00000, 0, 0
stuntrally/stuntrally, 49.07900, .40800, 0, 0, 2.24900, 48.26100, 0, 0
supercollider/sc3-plugins, 65.90200, .85900, 0, 0, 0, 33.23700, 0, 0
supercollider/supercollider, 0, 0, 0, 0, 0, 0, 0, 0
supertuxkart/stk-code, 0, 0, 0, 0, 0, 0, 0, 0
symengine/symengine, 4.00000, 4.00000, 0, 0, 1.99900, 90.00000, 0, 0
syndicodefront/infekt, 8.69500, 17.39100, 0, 0, 0, 73.91300, 0, 0
taglib/taglib, 0, 0, 0, 0, 0, 100.00000, 0, 0
texus/TGUI, 64.58300, 0, 0, 0, 0, 35.41600, 0, 0
thesamet/rpcz, 0, 0, 0, 0, 0, 100.00000, 0, 0
thewtex/tmux-mem-cpu-load, 0, 0, 0, 0, 0, 0, 0, 0
tpaviot/oce, 0, 0, 0, 0, 0, 0, 0, 0
tumi8/vermont, 16.07100, 16.96400, 0, 0, 3.57100, 62.05300, 1.33900, 0
ukoethe/vigra, 24.42100, 1.05200, 0, 0, 0, 74.52600, 0, 0
user-none/Sigil, 17.06300, 5.55500, 0, 0, 1.98400, 75.39600, 0, 0
vcmi/vcmi, 2.61600, 1.30800, 0, 0, .37300, 95.70000, 0, 0
vinipsmaker/tufao, 27.27200, 0, 0, 0, 0, 72.72700, 0, 0
wesnoth/wesnoth, 25.35700, 2.14200, 0, 0, 13.92800, 58.57100, 0, 0
xrootd/xrootd, 7.36800, 5.93300, 0, 0, 0, 86.69800, 0, 0
