repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 0, 0, 0, 0, 0, 100.00000, 0, 0
Bertram25/ValyriaTear, 0, 0, 0, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 0, 0, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 0, 0, 0, 0, 0, 100.00000, 0, 0
FreeCAD/FreeCAD_sf_master, 4.22500, .70400, 0, 0, 0, 95.07000, 0, 0
GollyGang/ready, 0, 0, 0, 0, 0, 0, 0, 0
H-uru/Plasma, 13.79300, 3.44800, 0, 0, 0, 82.75800, 0, 0
InsightSoftwareConsortium/ITK, 5.12800, 14.52900, 0, 0, 0, 80.34100, 0, 0
Itseez/opencv, 16.66600, 0, 0, 0, 0, 83.33300, 0, 0
KDAB/GammaRay, 0, 0, 0, 0, 0, 100.00000, 0, 0
Kazade/kazmath, 0, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 0, 12.49900, 0, 0, 0, 87.50000, 0, 0
KiCAD/kicad-source-mirror, 5.55500, 0, 0, 0, 0, 94.44400, 0, 0
Kitware/CMake, 3.44800, 0, 0, 0, 0, 96.55100, 0, 0
KitwareMedical/TubeTK, 0, 0, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 0, 0, 0, 0, 0, 0, 0, 0
LiberatorUSA/GUCEF, 21.22300, 4.67600, 0, 0, 0, 74.10000, 0, 0
ManaPlus/ManaPlus, 0, 0, 0, 0, 0, 0, 0, 0
MyGUI/mygui, 100.00000, 0, 0, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, 0, 0, 0, 0, 0, 100.00000, 0, 0
SINTEF-Geometry/GoTools, 8.95500, 13.43200, 0, 0, 0, 77.61100, 0, 0
SimTk/openmm, 0, 0, 0, 0, 0, 100.00000, 0, 0
Slicer/SlicerExecutionModel, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 33.33300, 33.33300, 0, 0, 0, 33.33300, 0, 0
SuperTux/supertux, 0, 0, 0, 0, 0, 100.00000, 0, 0
