repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
nickbruun/hayai, 0, 0, 0, 0, 0, 0, 0, 0
openclonk/openclonk, 2.17300, 4.34700, 0, 0, 0, 93.47800, 0, 0
opengm/opengm, 0, 0, 0, 0, 0, 0, 0, 0
openscenegraph/osg, 0, 7.14200, 0, 0, 0, 92.85700, 0, 0
orocos-toolchain/typelib, 0, 0, 0, 0, 0, 0, 0, 0
percona/percona-server, 15.90900, 15.90900, 0, 0, 0, 68.18100, 0, 0
quassel/quassel, 0, 0, 0, 0, 0, 0, 0, 0
rime/librime, 0, 0, 0, 0, 0, 0, 0, 0
root-mirror/root, 15.48300, 12.25800, 0, 0, 0, 72.25800, 0, 0
sakra/cotire, 0, 0, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, 0, 35.29400, 0, 0, 0, 64.70500, 0, 0
saschazelzer/CppMicroServices, 0, 0, 0, 0, 0, 0, 0, 0
scross99/locic, 0, 0, 0, 0, 0, 100.00000, 0, 0
simongog/sdsl-lite, 0, 0, 0, 0, 0, 0, 0, 0
spring/pr-downloader, 33.33300, 0, 0, 0, 0, 66.66600, 0, 0
stevenlovegrove/Pangolin, 0, 0, 0, 0, 0, 100.00000, 0, 0
strasdat/Sophus, 0, 0, 0, 0, 0, 0, 0, 0
stuntrally/stuntrally, 82.85700, 0, 0, 0, 0, 17.14200, 0, 0
supercollider/sc3-plugins, 46.15300, 7.69200, 0, 0, 0, 46.15300, 0, 0
supercollider/supercollider, 20.00000, 16.66600, 0, 0, 0, 63.33300, 0, 0
supertuxkart/stk-code, 88.88800, 0, 0, 0, 0, 11.11100, 0, 0
symengine/symengine, 0, 0, 0, 0, 0, 0, 0, 0
syndicodefront/infekt, 0, 0, 0, 0, 0, 0, 0, 0
taglib/taglib, 0, 0, 0, 0, 0, 100.00000, 0, 0
texus/TGUI, 0, 0, 0, 0, 0, 100.00000, 0, 0
thesamet/rpcz, 0, 0, 0, 0, 0, 0, 0, 0
thewtex/tmux-mem-cpu-load, 0, 0, 0, 0, 0, 0, 0, 0
tpaviot/oce, 17.77700, 4.44400, 0, 0, 0, 77.77700, 0, 0
tumi8/vermont, 0, 0, 0, 0, 0, 100.00000, 0, 0
ukoethe/vigra, 0, 0, 0, 0, 0, 100.00000, 0, 0
user-none/Sigil, 56.24900, 12.49900, 0, 0, 0, 31.25000, 0, 0
vcmi/vcmi, 19.99900, 0, 0, 0, 0, 80.00000, 0, 0
vinipsmaker/tufao, 0, 0, 0, 0, 0, 0, 0, 0
wesnoth/wesnoth, 66.66600, 0, 0, 0, 0, 33.33300, 0, 0
xrootd/xrootd, 9.09000, 16.66600, 0, 0, 0, 74.24200, 0, 0
