repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 0, 0, 0, 0, 0, 0, 0, 0
Bertram25/ValyriaTear, 2.46900, 14.81400, 0, 0, 1.23400, 81.48100, 0, 0
ChaiScript/ChaiScript, 0, 0, 0, 0, 0, 100.00000, 0, 0
DGtal-team/DGtal, 0, 1.01000, 0, 0, 0, 98.98900, 0, 0
FreeCAD/FreeCAD_sf_master, 0, 0, 0, 0, 0, 0, 0, 0
GollyGang/ready, 50.00000, 0, 0, 0, 0, 50.00000, 0, 0
H-uru/Plasma, 0, 0, 0, 0, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 0, 0, 0, 0, 0, 0, 0, 0
Itseez/opencv, 52.80500, 4.07000, 0, 0, .99000, 42.07900, .05500, 0
KDAB/GammaRay, 0, 0, 0, 0, 0, 100.00000, 0, 0
Kazade/kazmath, 73.68400, 10.52600, 0, 0, 0, 15.78900, 0, 0
KhronosGroup/OpenCOLLADA, 24.86400, 0, 0, 0, 0, 75.13500, 0, 0
KiCAD/kicad-source-mirror, 0, 0, 0, 0, 0, 0, 0, 0
Kitware/CMake, 20.56000, 8.72200, 0, 0, 0, 70.71600, 0, 0
KitwareMedical/TubeTK, 0, 0, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 31.81800, 2.27200, 0, 0, 0, 65.90900, 0, 0
LiberatorUSA/GUCEF, 20.40900, 12.37100, 0, 0, .86600, 66.35100, 0, 0
ManaPlus/ManaPlus, 29.29200, 3.03000, 0, 0, 0, 67.67600, 0, 0
MyGUI/mygui, 39.78400, 3.22500, 0, 0, 0, 56.98900, 0, 0
RainerKuemmerle/g2o, 23.21400, 10.71400, 0, 0, 0, 66.07100, 0, 0
SINTEF-Geometry/GoTools, 0, 0, 0, 0, 0, 0, 0, 0
SimTk/openmm, 44.90700, 10.55200, 0, 0, 6.01200, 38.52700, 0, 0
Slicer/SlicerExecutionModel, 0, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 9.37500, 0, 0, 0, 0, 90.62400, 0, 0
SuperTux/supertux, 45.79100, 2.02000, 0, 0, 1.01000, 51.17800, 0, 0
TUM-I5/ASAGI, 8.33300, 0, 0, 0, 0, 91.66600, 0, 0
TigerVNC/tigervnc, 21.17400, 8.17600, 0, 0, .41900, 70.23000, 0, 0
Vatsinator/Vatsinator, 63.63600, 0, 0, 0, 0, 36.36300, 0, 0
VcDevel/Vc, 6.25000, 0, 0, 0, 0, 93.74900, 0, 0
Zeex/samp-plugin-jit, 12.93100, 0, 0, 0, 0, 87.06800, 0, 0
Zeex/samp-plugin-profiler, 16.66600, 0, 0, 0, 0, 83.33300, 0, 0
alecthomas/entityx, 0, 0, 0, 0, 0, 100.00000, 0, 0
alembic/alembic, 0, 0, 0, 0, 0, 0, 0, 0
arx/ArxLibertatis, 41.36900, 3.69800, 0, 0, 0, 54.93100, 0, 0
biometrics/openbr, 76.31500, 0, 0, 0, 0, 23.68400, 0, 0
brezerk/q4wine, 0, 66.66600, 0, 0, 0, 33.33300, 0, 0
brndnmtthws/conky, 0, 0, 0, 0, 0, 0, 0, 0
bro/bro, 0, 0, 0, 0, 0, 0, 0, 0
bro/pysubnettree, 43.47800, 21.73900, 0, 0, 0, 34.78200, 0, 0
casadi/casadi, 0, 0, 0, 0, 0, 0, 0, 0
chenshuo/muduo, 13.63600, 80.30300, 0, 0, 0, 6.06000, 0, 0
christopho/solarus, 3.58700, 0, 0, 0, 4.48400, 91.92800, 0, 0
cinemast/libjson-rpc-cpp, 0, 0, 0, 0, 0, 0, 0, 0
clintbellanger/flare-engine, 4.10900, 1.36900, 0, 0, 0, 94.52000, 0, 0
cmangos/mangos-classic, 30.36500, 2.34300, 0, 0, 0, 67.29100, 0, 0
cmangos/mangos-wotlk, 17.41800, 1.38300, 0, 0, 0, 81.19800, 0, 0
colobot/colobot, 0, 0, 0, 0, 0, 0, 0, 0
commontk/CTK, 0, 0, 0, 0, 0, 0, 0, 0
commontk/DCMTK, 13.56100, 4.13000, 0, 0, 0, 82.30700, 0, 0
cppformat/cppformat, 0, 0, 0, 0, 0, 100.00000, 0, 0
ddemidov/vexcl, 11.11100, 0, 0, 0, 5.55500, 83.33300, 0, 0
deskvox/deskvox, 31.44800, 1.76600, 0, 0, 0, 66.78400, 0, 0
dorkster/flare-engine-next, 3.65800, 0, 0, 0, 0, 96.34100, 0, 0
edubart/otclient, 41.99900, 1.99900, 0, 0, 0, 56.00000, 0, 0
elemental/Elemental, 0, 0, 0, 0, 0, 100.00000, 0, 0
esa/pagmo, 25.69400, 0, 0, 0, 1.38800, 72.91600, 0, 0
facebook/mysql-5.6, 30.56900, 13.98300, 0, 0, .16200, 53.82100, 1.46300, 0
freundlich/fcppt, 0, 70.09300, 0, 0, 0, 29.90600, 0, 0
freundlich/mizuiro, 0, 35.13500, 0, 0, 0, 64.86400, 0, 0
gnuradio/gnuradio, 27.49900, 17.85700, 0, 0, .71400, 53.57100, .35700, 0
hluk/CopyQ, 0, 18.18100, 0, 0, 0, 81.81800, 0, 0
hpcc-systems/HPCC-Platform, 10.13100, 11.97300, 0, 0, 1.09600, 76.35900, .43800, 0
imageworks/OpenColorIO, 18.75000, 0, 0, 0, 0, 81.24900, 0, 0
jbeder/yaml-cpp, 0, 0, 0, 0, 0, 100.00000, 0, 0
juj/MathGeoLib, 9.72200, 4.16600, 0, 0, 0, 86.11100, 0, 0
koreader/crengine, 1.54700, 6.50100, 0, 0, .61900, 91.33100, 0, 0
lalinsky/chromaprint, 59.99900, 0, 0, 0, 0, 40.00000, 0, 0
ledger/ledger, 2.17300, 2.17300, 0, 0, 0, 95.65200, 0, 0
libpinyin/libpinyin, 36.11100, 31.94400, 0, 0, 0, 31.94400, 0, 0
libspatialindex/libspatialindex, 55.95200, 0, 0, 0, 0, 44.04700, 0, 0
lightspark/lightspark, 28.00000, 1.59900, 0, 0, 0, 70.40000, 0, 0
lotem/librime, 6.66600, 0, 0, 0, 0, 93.33300, 0, 0
lxde/pcmanfm-qt, 0, 0, 0, 0, 0, 0, 0, 0
mangosthree/server, 51.07600, 4.92300, 0, 0, 0, 43.99900, 0, 0
mavam/libbf, 0, 0, 0, 0, 0, 0, 0, 0
mempko/firestr, 40.90900, 21.59000, 0, 0, 1.13600, 36.36300, 0, 0
mickem/nscp, 4.76100, 0, 0, 0, 0, 95.23800, 0, 0
mlpack/mlpack, 21.21200, 33.33300, 0, 0, 0, 45.45400, 0, 0
mosra/corrade, 0, 0, 0, 0, 0, 100.00000, 0, 0
