repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 81.18800, 6.93000, 0, 9.90000, 0, 1.98000, 0, 0
Bertram25/ValyriaTear, 97.29700, 0, 2.70200, 0, 0, 0, 0, 0
ChaiScript/ChaiScript, 100.00000, 0, 0, 0, 0, 0, 0, 0
DGtal-team/DGtal, 92.30700, 0, 7.69200, 0, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 70.08300, 28.72400, .23800, .95300, 0, 0, 0, 0
GollyGang/ready, 80.00000, 10.00000, 10.00000, 0, 0, 0, 0, 0
H-uru/Plasma, 70.43700, 29.26000, .22600, .07500, 0, 0, 0, 0
InsightSoftwareConsortium/ITK, 69.31300, 28.75400, .23700, .68300, 0, 1.01100, 0, 0
Itseez/opencv, 79.32800, 18.88700, 1.15400, .62900, 0, 0, 0, 0
KDAB/GammaRay, 82.05100, 0, 0, 17.94800, 0, 0, 0, 0
Kazade/kazmath, 0, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 72.63300, 24.07400, 0, 3.29200, 0, 0, 0, 0
KiCAD/kicad-source-mirror, 78.21200, 21.78700, 0, 0, 0, 0, 0, 0
Kitware/CMake, 74.77400, 20.36100, 1.32000, 2.57100, 0, .97200, 0, 0
KitwareMedical/TubeTK, 79.03200, 16.12900, 4.83800, 0, 0, 0, 0, 0
LaurentGomila/SFML, 96.96900, 1.51500, 1.51500, 0, 0, 0, 0, 0
LiberatorUSA/GUCEF, 63.93100, 33.40200, .87400, 1.45700, 0, .33300, 0, 0
ManaPlus/ManaPlus, 82.10500, 7.89400, 2.63100, 6.84200, 0, .52600, 0, 0
MyGUI/mygui, 69.14800, 10.63800, 20.21200, 0, 0, 0, 0, 0
RainerKuemmerle/g2o, 92.12500, 3.93700, .78700, 3.14900, 0, 0, 0, 0
SINTEF-Geometry/GoTools, 95.29100, 4.14300, .56400, 0, 0, 0, 0, 0
SimTk/openmm, 80.59700, 14.42700, 4.97500, 0, 0, 0, 0, 0
Slicer/SlicerExecutionModel, 100.00000, 0, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 86.04600, 9.30200, 2.32500, 2.32500, 0, 0, 0, 0
SuperTux/supertux, 73.55900, 16.94900, 6.44000, 3.05000, 0, 0, 0, 0
TUM-I5/ASAGI, 100.00000, 0, 0, 0, 0, 0, 0, 0
TigerVNC/tigervnc, 65.30100, 30.84300, .72200, 3.13200, 0, 0, 0, 0
Vatsinator/Vatsinator, 100.00000, 0, 0, 0, 0, 0, 0, 0
VcDevel/Vc, 100.00000, 0, 0, 0, 0, 0, 0, 0
Zeex/samp-plugin-jit, 93.33300, 0, 6.66600, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 100.00000, 0, 0, 0, 0, 0, 0, 0
