repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
Andersbakken/rtags, 72.13100, 19.20300, 0, 2.10700, 0, 6.55700, 0, 0
Bertram25/ValyriaTear, 70.70700, 15.65600, .50500, 13.13100, 0, 0, 0, 0
ChaiScript/ChaiScript, 68.57100, 11.42800, 0, 20.00000, 0, 0, 0, 0
DGtal-team/DGtal, 77.87600, 2.65400, 1.76900, 17.69900, 0, 0, 0, 0
FreeCAD/FreeCAD_sf_master, 73.35500, 22.48100, .79100, 2.49700, 0, .87400, 0, 0
GollyGang/ready, 85.71400, 12.85700, 1.42800, 0, 0, 0, 0, 0
H-uru/Plasma, 64.30900, 29.94600, .39800, 4.21600, 0, 1.12800, 0, 0
InsightSoftwareConsortium/ITK, 67.68800, 30.61000, .27000, .57900, 0, .85000, 0, 0
Itseez/opencv, 77.68200, 20.28000, .79500, .54100, 0, .70000, 0, 0
KDAB/GammaRay, 88.97600, 7.08600, 0, 3.93700, 0, 0, 0, 0
Kazade/kazmath, 100.00000, 0, 0, 0, 0, 0, 0, 0
KhronosGroup/OpenCOLLADA, 60.71300, 34.04400, 0, .15200, 0, 5.08900, 0, 0
KiCAD/kicad-source-mirror, 71.64800, 25.41800, 0, .69800, 0, 2.23400, 0, 0
Kitware/CMake, 65.71700, 29.73400, .44600, 1.31700, 0, 2.78400, 0, 0
KitwareMedical/TubeTK, 74.08700, 25.91200, 0, 0, 0, 0, 0, 0
LaurentGomila/SFML, 93.07300, 6.49300, .43200, 0, 0, 0, 0, 0
LiberatorUSA/GUCEF, 73.06200, 21.74700, .52000, 2.52800, 0, 2.14100, 0, 0
ManaPlus/ManaPlus, 84.54100, 12.78600, 1.33500, .19000, 0, 1.14500, 0, 0
MyGUI/mygui, 74.99900, 13.15700, 5.00000, 6.84200, 0, 0, 0, 0
RainerKuemmerle/g2o, 94.40200, 3.73100, 1.49200, 0, 0, .37300, 0, 0
SINTEF-Geometry/GoTools, 84.28900, 13.92200, 1.22200, 0, 0, .56400, 0, 0
SimTk/openmm, 92.92000, 3.53900, 3.35000, 0, 0, .18900, 0, 0
Slicer/SlicerExecutionModel, 70.83300, 29.16600, 0, 0, 0, 0, 0, 0
SupSuper/OpenXcom, 77.51400, 14.20100, 1.77500, 0, 0, 6.50800, 0, 0
SuperTux/supertux, 66.90400, 27.38900, 3.56600, .85500, 0, 1.28300, 0, 0
TUM-I5/ASAGI, 90.00000, 0, 0, 7.49900, 0, 2.49900, 0, 0
TigerVNC/tigervnc, 59.06800, 35.97600, .19800, .99100, 0, 3.76600, 0, 0
Vatsinator/Vatsinator, 97.14200, 0, 0, 2.85700, 0, 0, 0, 0
VcDevel/Vc, 61.90400, 0, 14.28500, 23.80900, 0, 0, 0, 0
Zeex/samp-plugin-jit, 76.13600, 22.72700, 1.13600, 0, 0, 0, 0, 0
Zeex/samp-plugin-profiler, 87.49900, 12.50000, 0, 0, 0, 0, 0, 0
alecthomas/entityx, 76.92300, 0, 23.07600, 0, 0, 0, 0, 0
alembic/alembic, 93.96500, 4.31000, 1.72400, 0, 0, 0, 0, 0
arx/ArxLibertatis, 85.89900, 12.80500, .71900, .57500, 0, 0, 0, 0
biometrics/openbr, 73.62900, 11.48800, 10.18200, 0, 0, 4.69900, 0, 0
brezerk/q4wine, 92.45200, 7.54700, 0, 0, 0, 0, 0, 0
brndnmtthws/conky, 50.82100, 32.28300, .36500, .31900, 0, 16.21000, 0, 0
bro/bro, 76.46000, 17.11100, .62600, 1.46000, 0, 4.34000, 0, 0
bro/pysubnettree, 66.66600, 28.00000, 0, 0, 0, 5.33300, 0, 0
casadi/casadi, 51.32200, 31.21600, .21100, .21100, 0, 17.03700, 0, 0
chenshuo/muduo, 75.30800, 6.17200, 0, .92500, 0, 17.59200, 0, 0
christopho/solarus, 97.49900, 0, 0, 2.50000, 0, 0, 0, 0
cinemast/libjson-rpc-cpp, 59.52300, 21.42800, 0, 2.38000, 0, 16.66600, 0, 0
clintbellanger/flare-engine, 98.66600, .66600, .66600, 0, 0, 0, 0, 0
cmangos/mangos-classic, 68.32300, 27.24800, 1.35200, .06700, 0, 3.00800, 0, 0
cmangos/mangos-wotlk, 68.13500, 27.45600, 1.24400, .06700, 0, 3.09500, 0, 0
colobot/colobot, 67.67300, 29.60700, .90600, 0, 0, 1.81200, 0, 0
commontk/CTK, 97.72700, 2.27200, 0, 0, 0, 0, 0, 0
commontk/DCMTK, 80.89800, 18.66200, .01900, .37900, 0, .03900, 0, 0
cppformat/cppformat, 58.57100, 41.42800, 0, 0, 0, 0, 0, 0
ddemidov/vexcl, 97.03300, .42300, 2.54200, 0, 0, 0, 0, 0
deskvox/deskvox, 67.47500, 30.09700, 2.33000, 0, 0, .09700, 0, 0
dorkster/flare-engine-next, 82.22200, .55500, .55500, 16.66600, 0, 0, 0, 0
edubart/otclient, 80.39200, 18.13700, .49000, 0, 0, .98000, 0, 0
elemental/Elemental, 87.56700, 3.24300, 9.18900, 0, 0, 0, 0, 0
esa/pagmo, 14.23600, 4.51300, 12.84700, 68.40200, 0, 0, 0, 0
facebook/mysql-5.6, 70.38500, 23.45200, .48900, 1.00000, 0, 4.67100, 0, 0
