repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
rime/librime, 0, 0, 0, 0, 0, 0, 0, 0
root-mirror/root, 0, 0, 0, 0, 0, 0, 0, 0
sakra/cotire, 0, 0, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, 0, 0, 0, 0, 0, 0, 0, 0
saschazelzer/CppMicroServices, 0, 0, 0, 0, 0, 0, 0, 0
scross99/locic, 0, 0, 0, 0, 0, 0, 0, 0
simongog/sdsl-lite, 0, 0, 0, 0, 0, 0, 0, 0
spring/pr-downloader, 0, 0, 0, 0, 0, 0, 0, 0
stevenlovegrove/Pangolin, 0, 0, 0, 0, 0, 0, 0, 0
strasdat/Sophus, 0, 0, 0, 0, 0, 0, 0, 0
stuntrally/stuntrally, 0, 0, 0, 0, 0, 0, 0, 0
supercollider/sc3-plugins, 0, 0, 0, 0, 0, 0, 0, 0
supercollider/supercollider, 0, 0, 0, 0, 0, 0, 0, 0
supertuxkart/stk-code, 0, 0, 0, 0, 0, 0, 0, 0
symengine/symengine, 0, 0, 0, 0, 0, 0, 0, 0
syndicodefront/infekt, 0, 0, 0, 0, 0, 0, 0, 0
taglib/taglib, 0, 0, 0, 0, 0, 0, 0, 0
texus/TGUI, 0, 0, 0, 0, 0, 0, 0, 0
thesamet/rpcz, 0, 0, 0, 0, 0, 0, 0, 0
thewtex/tmux-mem-cpu-load, 0, 0, 0, 0, 0, 0, 0, 0
tpaviot/oce, 0, 0, 0, 0, 0, 0, 0, 0
tumi8/vermont, 0, 0, 0, 0, 0, 0, 0, 0
ukoethe/vigra, 0, 0, 0, 0, 0, 0, 0, 0
user-none/Sigil, 0, 0, 0, 0, 0, 0, 0, 0
vcmi/vcmi, 0, 0, 0, 0, 0, 0, 0, 0
vinipsmaker/tufao, 0, 0, 0, 0, 0, 0, 0, 0
wesnoth/wesnoth, 0, 0, 0, 0, 0, 0, 0, 0
xrootd/xrootd, 0, 0, 0, 0, 0, 0, 0, 0
