repository, IVR, API, SF, TS, ERR, CQ, ENC, ENV
lxde/pcmanfm-qt, 0, 0, 0, 0, 0, 0, 0, 0
mangosthree/server, 61.18800, 36.13000, .50500, 1.70900, 0, .46600, 0, 0
mavam/libbf, 0, 0, 0, 0, 0, 0, 0, 0
mempko/firestr, 67.16400, 29.85000, 1.49200, 1.49200, 0, 0, 0, 0
mickem/nscp, 69.93700, 24.92200, 2.64700, 2.02400, 0, .46700, 0, 0
mlpack/mlpack, 50.00000, 40.00000, 9.99900, 0, 0, 0, 0, 0
mosra/corrade, 100.00000, 0, 0, 0, 0, 0, 0, 0
msoos/cryptominisat, 45.45400, 27.27200, 22.72700, 4.54500, 0, 0, 0, 0
musescore/MuseScore, 93.59500, 5.82200, 0, .14500, 0, .43600, 0, 0
nickbruun/hayai, 0, 0, 100.00000, 0, 0, 0, 0, 0
openclonk/openclonk, 79.65200, 17.91300, .17300, 1.73900, 0, .52100, 0, 0
opengm/opengm, 0, 0, 100.00000, 0, 0, 0, 0, 0
openscenegraph/osg, 90.13000, 8.22400, .99400, .65000, 0, 0, 0, 0
orocos-toolchain/typelib, 90.90900, 0, 0, 9.09000, 0, 0, 0, 0
percona/percona-server, 77.11200, 19.38500, .67500, 2.42700, 0, .39900, 0, 0
quassel/quassel, 31.57800, 26.31500, 15.78900, 26.31500, 0, 0, 0, 0
rime/librime, 73.52900, 26.47000, 0, 0, 0, 0, 0, 0
root-mirror/root, 77.27700, 18.21700, 1.40200, 2.87100, 0, .23100, 0, 0
sakra/cotire, 0, 0, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, 68.87400, 31.12500, 0, 0, 0, 0, 0, 0
saschazelzer/CppMicroServices, 20.00000, 79.99900, 0, 0, 0, 0, 0, 0
scross99/locic, 0, 0, 0, 0, 0, 0, 0, 0
simongog/sdsl-lite, 64.15000, 33.96200, 0, 1.88600, 0, 0, 0, 0
spring/pr-downloader, 62.38200, 36.36300, 0, .31300, 0, .94000, 0, 0
stevenlovegrove/Pangolin, 85.71400, 0, 0, 14.28500, 0, 0, 0, 0
strasdat/Sophus, 0, 0, 0, 0, 0, 0, 0, 0
stuntrally/stuntrally, 70.42200, 15.49200, 14.08400, 0, 0, 0, 0, 0
supercollider/sc3-plugins, 78.77500, 13.46900, 1.63200, 6.12200, 0, 0, 0, 0
supercollider/supercollider, 72.78400, 24.59400, .37400, 1.87200, 0, .37400, 0, 0
supertuxkart/stk-code, 71.01400, 13.76800, 13.76800, 1.44900, 0, 0, 0, 0
symengine/symengine, 0, 0, 0, 100.00000, 0, 0, 0, 0
syndicodefront/infekt, 75.30800, 19.75300, 0, 1.23400, 0, 3.70300, 0, 0
taglib/taglib, 99.06500, .93400, 0, 0, 0, 0, 0, 0
texus/TGUI, 0, 0, 0, 0, 0, 0, 0, 0
thesamet/rpcz, 78.26000, 0, 0, 21.73900, 0, 0, 0, 0
thewtex/tmux-mem-cpu-load, 0, 0, 0, 0, 0, 0, 0, 0
tpaviot/oce, 69.44400, 29.33100, .14100, 1.08200, 0, 0, 0, 0
tumi8/vermont, 69.47300, 25.26300, 1.05200, 3.15700, 0, 1.05200, 0, 0
ukoethe/vigra, 84.48200, 15.51700, 0, 0, 0, 0, 0, 0
user-none/Sigil, 74.29600, 25.14000, 0, .56200, 0, 0, 0, 0
vcmi/vcmi, 70.00000, 23.33300, 6.66600, 0, 0, 0, 0, 0
vinipsmaker/tufao, 100.00000, 0, 0, 0, 0, 0, 0, 0
wesnoth/wesnoth, 80.35700, 10.35700, 4.99900, 4.28500, 0, 0, 0, 0
xrootd/xrootd, 70.87400, 25.47500, .34200, 2.05300, 0, 1.25400, 0, 0
